S_no,Year,Month,Day,Date,WD,Hour,Minute_30,Place1,Place2,Ventilation1,Ventilation2,Activity1,Activity2,AP1,AP2,AP3,Sensor
LA002,2018,10,24,2,1,19,2,7,0,3,0,64,0,65,0,0,1
LA002,2018,10,24,2,1,20,1,7,0,3,0,64,0,65,0,0,1
LA002,2018,10,24,2,1,20,2,7,0,3,0,64,0,65,0,0,1
LA002,2018,10,24,2,1,21,1,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,24,2,1,21,2,13,0,4,0,2,0,65,0,0,1
LA002,2018,10,24,2,1,22,1,16,0,9,0,2,0,1,65,0,1
LA002,2018,10,24,2,1,22,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,24,2,1,23,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,24,2,1,23,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,0,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,0,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,1,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,1,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,2,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,2,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,3,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,3,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,4,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,4,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,5,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,5,2,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,6,1,1,0,3,0,9,0,65,0,0,1
LA002,2018,10,25,3,1,6,2,1,0,3,0,11,0,2,0,0,1
LA002,2018,10,25,3,1,7,1,1,0,3,0,11,0,2,0,0,1
LA002,2018,10,25,3,1,7,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,25,3,1,8,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,25,3,1,8,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,25,3,1,9,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,25,3,1,9,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,25,3,1,10,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,25,3,1,10,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,25,3,1,11,1,16,0,9,0,6,0,1,0,0,1
LA002,2018,10,25,3,1,11,2,16,0,9,0,2,0,1,3,0,1
LA002,2018,10,25,3,1,12,1,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,25,3,1,12,2,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,25,3,1,13,1,7,0,4,0,3,0,65,0,0,1
LA002,2018,10,25,3,1,13,2,7,0,4,0,3,0,65,0,0,1
LA002,2018,10,25,3,1,14,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,25,3,1,14,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,25,3,1,15,1,16,0,9,0,64,0,5,65,0,1
LA002,2018,10,25,3,1,15,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,16,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,16,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,17,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,17,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,18,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,18,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,19,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,19,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,25,3,1,20,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,25,3,1,20,2,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,25,3,1,21,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,25,3,1,21,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,25,3,1,22,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,25,3,1,22,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,25,3,1,23,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,25,3,1,23,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,0,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,0,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,1,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,1,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,2,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,2,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,3,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,3,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,4,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,4,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,5,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,5,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,6,1,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,6,2,1,0,3,0,10,0,0,0,0,1
LA002,2018,10,26,4,1,7,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,26,4,1,7,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,26,4,1,8,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,26,4,1,8,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,26,4,1,9,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,26,4,1,9,2,1,0,3,0,11,0,3,0,0,1
LA002,2018,10,26,4,1,10,1,1,0,3,0,4,0,2,0,0,1
LA002,2018,10,26,4,1,10,2,1,0,3,0,4,0,2,0,0,1
LA002,2018,10,26,4,1,11,1,16,0,9,0,64,0,1,10,0,1
LA002,2018,10,26,4,1,11,2,16,0,9,0,2,0,1,2,0,1
LA002,2018,10,26,4,1,12,1,13,0,4,0,2,0,65,0,0,1
LA002,2018,10,26,4,1,12,2,12,0,4,0,2,0,65,0,0,1
LA002,2018,10,26,4,1,13,1,16,0,9,0,2,0,2,0,0,1
LA002,2018,10,26,4,1,13,2,7,0,3,0,3,0,1,0,0,1
LA002,2018,10,26,4,1,14,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,26,4,1,14,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,15,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,26,4,1,15,2,16,0,9,0,64,0,5,65,0,1
LA002,2018,10,26,4,1,16,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,16,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,17,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,17,2,16,0,9,0,64,0,65,0,0,1
LA002,2018,10,26,4,1,18,1,16,0,9,0,64,0,65,0,0,1
LA002,2018,10,26,4,1,18,2,16,0,9,0,64,0,65,0,0,1
LA002,2018,10,26,4,1,19,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,26,4,1,19,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,20,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,26,4,1,21,1,16,0,9,0,2,0,65,5,0,1
LA002,2018,10,26,4,1,21,2,13,0,4,0,2,0,65,0,0,1
LA002,2018,10,26,4,1,22,1,16,0,9,0,2,0,2,0,0,1
LA002,2018,10,26,4,1,22,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,26,4,1,23,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,26,4,1,23,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,0,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,0,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,1,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,1,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,2,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,2,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,3,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,3,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,4,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,4,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,5,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,5,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,6,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,6,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,7,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,27,5,1,7,2,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,27,5,1,8,1,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,8,2,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,9,1,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,9,2,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,10,1,12,0,4,0,2,0,5,0,0,1
LA002,2018,10,27,5,1,10,2,5,0,3,0,5,0,5,0,0,1
LA002,2018,10,27,5,1,11,1,5,0,3,0,5,0,5,0,0,1
LA002,2018,10,27,5,1,11,2,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,12,1,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,12,2,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,13,1,12,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,13,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,27,5,1,14,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,27,5,1,14,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,27,5,1,15,1,16,0,9,0,2,0,2,1,0,1
LA002,2018,10,27,5,1,15,2,13,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,16,1,12,0,4,0,2,0,65,0,0,1
LA002,2018,10,27,5,1,16,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,27,5,1,17,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,27,5,1,17,2,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,18,1,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,18,2,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,19,1,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,19,2,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,20,1,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,20,2,7,0,3,0,3,0,2,0,0,1
LA002,2018,10,27,5,1,21,1,16,0,9,0,2,0,5,2,0,1
LA002,2018,10,27,5,1,21,2,13,0,4,0,2,0,0,0,0,1
LA002,2018,10,27,5,1,22,1,16,0,9,0,2,0,1,0,0,1
LA002,2018,10,27,5,1,22,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,23,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,27,5,1,23,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,0,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,0,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,1,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,1,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,2,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,2,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,3,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,3,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,4,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,4,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,5,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,5,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,6,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,6,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,28,6,0,7,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,28,6,0,7,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,28,6,0,8,1,1,0,3,0,11,0,65,0,0,1
LA002,2018,10,28,6,0,8,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,9,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,9,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,10,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,10,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,11,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,11,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,12,1,18,0,9,0,6,0,1,2,0,1
LA002,2018,10,28,6,0,12,2,18,0,9,0,6,0,1,2,0,1
LA002,2018,10,28,6,0,13,1,18,0,9,0,6,0,1,2,0,1
LA002,2018,10,28,6,0,13,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,14,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,14,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,15,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,15,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,16,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,16,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,17,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,17,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,18,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,18,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,19,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,19,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,20,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,20,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,21,1,9,0,9,0,64,0,11,0,0,1
LA002,2018,10,28,6,0,21,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,22,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,22,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,28,6,0,23,1,1,0,3,0,11,0,0,0,0,1
