73,71,66
73,72,70
74,72,70
75,73,70
84,74,69
81,75,70
79,72,67
74,71,68
74,72,70
81,74,69
74,72,69
73,71,69
81,75,70
79,76,74
77,75,72
77,73,70
76,74,70
76,73,70
75,72,70
75,73,70
77,73,70
74,72,68
85,74,70
82,73,69
75,72,70
75,72,69
74,73,70
74,72,69
75,73,70
74,73,70
74,72,69
75,73,70
76,73,70
76,73,71
78,77,73
76,75,71
79,74,71
79,75,72
77,75,73
80,77,74
80,77,72
78,75,73
78,76,73
78,76,74
79,76,72
79,76,74
92,81,75
81,78,74
78,76,74
81,74,70
77,73,71
76,72,70
74,72,69
75,72,71
86,77,72
86,79,75
78,75,71
82,74,70
73,71,68
80,73,70
79,73,69
74,71,70
72,71,68
73,71,69
72,71,69
73,71,69
74,71,69
74,72,69
72,71,69
72,70,68
74,71,69
73,71,69
73,70,68
72,71,69
73,71,69
74,72,70
81,77,71
88,79,72
85,74,68
73,71,68
77,72,69
73,71,68
74,72,70
72,71,69
72,71,69
72,70,68
73,71,69
73,72,70
74,72,70
73,71,68
73,72,69
81,74,70
82,74,68
83,79,72
90,78,69
79,76,73
76,74,71
76,75,71
76,73,69
75,73,71
75,72,69
73,72,69
76,73,70
80,75,67
73,71,68
75,71,67
72,70,67
72,70,68
73,70,69
73,71,68
72,70,66
72,70,68
74,72,69
76,74,70
75,73,70
75,72,70
75,72,69
76,73,68
75,72,70
74,73,72
74,72,71
75,73,70
74,71,67
76,74,72
76,73,70
83,73,69
76,74,71
79,74,70
76,71,68
72,70,67
74,72,69
74,72,68
79,75,71
75,73,70
73,72,70
73,72,69
75,72,70
75,73,70
76,73,70
76,72,69
73,71,68
74,72,70
76,73,70
77,72,69
83,75,69
93,74,68
79,72,66
78,71,66
74,72,70
79,72,67
73,71,67
74,71,69
71,70,67
72,69,67
83,72,67
82,72,67
78,74,70
81,73,67
76,71,68
76,72,68
76,70,66
79,70,66
72,69,65
73,68,64
73,68,64
81,70,65
69,66,65
76,69,66
74,72,68
73,71,67
71,70,66
70,68,65
71,69,66
71,69,66
71,68,66
70,69,66
72,69,67
70,69,66
71,69,66
71,68,65
71,70,67
71,69,67
72,69,66
71,70,67
71,69,67
71,70,67
74,71,68
73,71,70
73,71,68
79,73,69
79,75,71
83,76,73
83,78,72
76,74,72
76,73,70
74,71,68
75,72,69
76,73,70
73,71,69
73,72,69
77,71,68
74,72,70
75,72,70
79,72,69
75,72,68
74,72,70
75,72,69
73,71,67
81,74,68
73,71,69
74,71,68
72,71,68
73,71,67
74,71,70
75,72,69
76,72,68
71,70,67
75,71,68
74,71,68
73,71,69
79,72,67
75,72,68
75,72,67
74,72,70
72,71,69
75,71,69
74,72,70
83,74,69
78,73,69
76,73,70
76,73,69
74,72,68
77,74,71
79,74,70
81,76,71
79,76,73
79,76,73
90,85,82
89,85,82
83,80,75
