"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2018-10-15 05:55~9","LA014",0,2,28.31,68.605,4.14465,5.2864,547.7
"2018-10-15 06:00~4","LA014",0,2,28.335,68.59,6.64745,7.1092,533
"2018-10-15 06:05~9","LA014",0,2,28.335,68.68,5.03645,6.1327,571.85
"2018-10-15 06:10~4","LA014",0,2,28.3,68.795,4.78165,5.8723,668.4
"2018-10-15 06:15~9","LA014",0,2,28.31,68.775,6.2981,6.9356,747.9
"2018-10-15 06:20~4","LA014",0,2,28.395,68.295,7.7379,8.0423,871.95
"2018-10-15 06:25~9","LA014",0,2,28.43,68.455,6.30725,7.1092,853
"2018-10-15 06:30~4","LA014",0,2,28.47,68.9,5.86455,6.8271,820.2
"2018-10-15 06:35~9","LA014",0,2,28.5,69.47,6.1512,7.2177,737.05
"2018-10-15 06:40~4","LA014",0,2,28.405,70.265,35.80355,40.0064,677.5
"2018-10-15 06:45~9","LA014",0,2,28.46,70.48,52.74775,56.3031,782.05
"2018-10-15 06:50~4","LA014",0,2,28.46,70.24,36.69535,38.7912,727.9
"2018-10-15 06:55~9","LA014",0,2,28.455,70.185,20.64295,22.2124,652
"2018-10-15 07:00~4","LA014",0,2,28.515,69.55,15.61065,16.9827,607.9
"2018-10-15 07:05~9","LA014",0,2,28.53,69.49,14.65515,15.6373,575.75
"2018-10-15 07:10~4","LA014",0,2,28.55,69.57,20.2289,21.9086,559.15
"2018-10-15 07:15~9","LA014",0,2,28.56,69.065,33.6696,38.0317,526.8
"2018-10-15 07:20~4","LA014",0,2,28.52,69.425,53.4803,60.0355,524.75
"2018-10-15 07:25~9","LA014",0,2,28.565,69.18,80.52095,86.6397,522.35
"2018-10-15 07:30~4","LA014",0,2,28.515,69.095,75.76235,76.5926,493.05
"2018-10-15 07:35~9","LA014",0,2,28.5,69.385,79.60005,79.6957,470.6
"2018-10-15 07:40~4","LA014",0,2,28.455,69.635,109.2202,114.5025,471.8
"2018-10-15 07:45~9","LA014",0,2,28.45,69.63,118.9002,132.1446,471.9
"2018-10-15 07:50~4","LA014",0,2,28.49,69.555,127.2449,146.6185,471.25
"2018-10-15 07:55~9","LA014",0,2,28.495,69.315,132.1498,154.9513,473.3
"2018-10-15 08:00~4","LA014",0,2,28.43,69.615,121.35265,140.1953,467.9
"2018-10-15 08:05~9","LA014",0,2,28.395,70.005,119.88755,137.3526,480.05
"2018-10-15 08:10~4","LA014",0,2,28.395,70.38,114.2501,126.2856,491.8
"2018-10-15 08:15~9","LA014",0,2,28.4,69.955,109.4726,118.4302,483
"2018-10-15 08:20~4","LA014",0,2,28.37,69.945,79.13,80.8458,460.7
"2018-10-15 08:25~9","LA014",0,2,28.4,69.91,69.9096,71.6667,449.1
"2018-10-15 08:30~4","LA014",0,2,28.415,69.85,87.71905,94.43,456.9
"2018-10-15 08:35~9","LA014",0,2,28.395,69.76,76.50785,83.3413,458
"2018-10-15 08:40~4","LA014",0,2,28.4,70.07,76.2849,84.5782,453.65
"2018-10-15 08:45~9","LA014",0,2,28.4368421052632,70.3315789473684,74.4979473684211,83.0203684210526,451.421052631579
"2018-10-15 08:50~4","LA014",0,2,28.375,70.59,83.9926,94.0394,464.65
"2018-10-15 08:55~9","LA014",0,2,28.3,70.615,67.65355,75.6812,450.65
"2018-10-15 09:00~4","LA014",0,2,28.29,70.655,64.3093,71.2327,450.7
"2018-10-15 09:05~9","LA014",0,2,28.285,70.64,76.2212,88.6144,446.9
"2018-10-15 09:10~4","LA014",0,2,28.345,70.595,80.52095,94.43,446.35
"2018-10-15 09:15~9","LA014",0,2,28.35,70.575,103.45295,128.3254,454.85
"2018-10-15 09:20~4","LA014",0,2,28.415,70.56,91.09515,107.2113,454.5
"2018-10-15 09:25~9","LA014",0,2,28.325,70.58,75.5842,85.2943,452.8
"2018-10-15 09:30~4","LA014",0,2,28.3,70.44,47.3651,50.3356,438.35
"2018-10-15 09:35~9","LA014",0,2,28.34,70.46,50.96415,55.2181,431.45
"2018-10-15 09:40~4","LA014",0,2,28.365,70.585,70.13785,78.4154,437.3
"2018-10-15 09:45~9","LA014",0,2,28.295,70.43,53.1618,58.2995,433.85
"2018-10-15 09:50~4","LA014",0,2,28.32,70.195,46.2822,50.2922,428.15
"2018-10-15 09:55~9","LA014",0,2,28.305,70.365,64.85075,72.5781,431.25
"2018-10-15 10:00~4","LA014",0,2,28.31,70.52,65.2011,71.9054,432.3
"2018-10-15 10:05~9","LA014",0,2,28.305,70.635,45.3267,48.4477,426.75
"2018-10-15 10:10~4","LA014",0,2,28.3,70.6,37.26865,38.8563,426
"2018-10-15 10:15~9","LA014",0,2,28.355,70.135,31.3127,32.2812,422.65
"2018-10-15 10:20~4","LA014",0,2,28.47,70.275,42.01105,42.6104,429.2
"2018-10-15 10:25~9","LA014",0,2,28.49,70.27,44.4322,44.8672,441.3
"2018-10-15 10:30~4","LA014",0,2,28.415,70.51,67.33505,72.1441,448.5
"2018-10-15 10:35~9","LA014",0,2,28.48,70.865,67.58985,72.7083,450.85
"2018-10-15 10:40~4","LA014",0,2,28.5,70.745,71.6985,77.5908,468.3
"2018-10-15 10:45~9","LA014",0,2,28.5230769230769,70.9923076923077,72.458,77.1200769230769,581.230769230769
"2018-10-15 10:50~4","LA014",0,2,28.45,71.07,76.57155,80.1948,531.9
"2018-10-15 10:55~9","LA014",0,2,28.49,70.82,56.0052,56.9324,510.8
"2018-10-15 11:00~4","LA014",0,2,28.525,70.56,43.75685,43.8256,496.4
"2018-10-15 11:05~9","LA014",0,2,28.54,70.725,42.6538,42.6538,507.65
"2018-10-15 11:10~4","LA014",0,2,28.6,70.59,34.9069,34.9069,513.65
"2018-10-15 11:15~9","LA014",0,2,28.595,70.745,36.4693,36.4693,525.6
"2018-10-15 11:20~4","LA014",0,2,28.55,70.525,26.6473,26.6826,511.35
"2018-10-15 11:25~9","LA014",0,2,28.575,70.325,23.5766,23.6229,478.7
"2018-10-15 11:30~4","LA014",0,2,28.595,69.98,22.4198,22.4511,455.6
"2018-10-15 11:35~9","LA014",0,2,28.645,69.79,23.0587,23.0587,451.7
"2018-10-15 11:40~4","LA014",0,2,28.63,69.925,24.4041,24.4041,455.55
"2018-10-15 11:45~9","LA014",0,2,28.62,70.1,24.7947,24.7947,458.6
"2018-10-15 11:50~4","LA014",0,2,28.62,70.375,24.1654,24.1654,469.4
"2018-10-15 11:55~9","LA014",0,2,28.635,70.315,26.1618,26.1618,462.95
"2018-10-15 12:00~4","LA014",0,2,28.725,70.445,28.5705,28.5705,457.2
"2018-10-15 12:05~9","LA014",0,2,28.77,70.555,21.2115,21.2142,445.2
"2018-10-15 12:10~4","LA014",0,2,28.79,70.605,21.75465,21.7567,446.1
"2018-10-15 12:15~9","LA014",0,2,28.795,70.655,23.48925,23.4927,448.9
"2018-10-15 12:20~4","LA014",0,2,28.785,70.52,25.7712,25.7712,447.9
"2018-10-15 12:25~9","LA014",0,2,28.8,70.455,23.4276,23.4276,447.95
"2018-10-15 12:30~4","LA014",0,2,28.74,70.445,25.1202,25.1202,452.05
"2018-10-15 12:35~9","LA014",0,2,28.765,70.26,25.9231,25.9231,450.65
"2018-10-15 12:40~4","LA014",0,2,28.735,70.19,23.9267,23.9267,442.1
"2018-10-15 12:45~9","LA014",0,2,28.715,69.995,25.4023,25.4023,436.75
"2018-10-15 12:50~4","LA014",0,2,28.715,69.81,23.7965,23.7965,430.65
"2018-10-15 12:55~9","LA014",0,2,28.7684210526316,69.7,23.9036315789474,23.905,424.105263157895
"2018-10-15 13:00~4","LA014",0,2,28.76,69.645,22.26325,22.2775,419.95
"2018-10-15 13:05~9","LA014",0,2,28.8,69.6,21.11325,21.1274,417.75
"2018-10-15 13:10~4","LA014",0,2,28.84,69.495,28.245,28.245,430.75
"2018-10-15 13:15~9","LA014",0,2,28.915,69.935,57.4098,57.4098,501.45
"2018-10-15 13:20~4","LA014",0,2,28.96,69.92,90.0466,90.0466,509
"2018-10-15 13:25~9","LA014",0,2,28.905,70,101.0919,101.0919,476.45
"2018-10-15 13:30~4","LA014",0,2,28.89,69.92,123.10365,123.4212,487.3
"2018-10-15 13:35~9","LA014",0,2,28.9105263157895,69.8421052631579,128.334473684211,130.623315789474,484.684210526316
"2018-10-15 13:40~4","LA014",0,2,28.91,69.53,135.04215,139.5009,489.95
"2018-10-15 13:45~9","LA014",0,2,28.9,69.105,117.628,118.2349,484.1
"2018-10-15 13:50~4","LA014",0,2,28.91,69.41,108.76715,109.1643,498.3
"2018-10-15 13:55~9","LA014",0,2,28.96,69.63,115.7953,115.9564,515.15
"2018-10-15 14:00~4","LA014",0,2,28.955,70.01,127.90915,129.9746,521.7
"2018-10-15 14:05~9","LA014",0,2,28.99,70.17,130.306,131.3634,533.6
"2018-10-15 14:10~4","LA014",0,2,28.98,70,93.9092,93.9092,522.55
"2018-10-15 14:15~9","LA014",0,2,28.975,70.08,69.909,69.909,493.75
"2018-10-15 14:20~4","LA014",0,2,29,69.9,54.3284,54.3284,492.6
"2018-10-15 14:25~9","LA014",0,2,28.93,69.875,32.48895,32.5416,486.9
"2018-10-15 14:30~4","LA014",0,2,28.91,69.97,22.74505,23.5361,468.45
"2018-10-15 14:35~9","LA014",0,2,28.77,70.665,23.37365,23.9267,486.4
