mins 1930 , noise_error =1.0
mins 1931 , noise_error =1.0
mins 1932 , noise_error =1.0
mins 1933 , noise_error =0.967391304347826
mins 1934 , noise_error =1.0
mins 1935 , noise_error =1.0
mins 1936 , noise_error =1.0
mins 1937 , noise_error =1.0
mins 1938 , noise_error =1.0
mins 1939 , noise_error =0.9891304347826086
mins 1940 , noise_error =0.989247311827957
mins 1941 , noise_error =0.98
mins 1942 , noise_error =0.808695652173913
mins 1943 , noise_error =0.95
mins 1944 , noise_error =0.9340659340659341
mins 1945 , noise_error =0.9444444444444444
mins 1946 , noise_error =1.0
mins 1947 , noise_error =0.9578947368421052
mins 1948 , noise_error =0.8446601941747574
mins 1949 , noise_error =0.9803921568627451
mins 1950 , noise_error =0.9150943396226415
mins 1951 , noise_error =0.7692307692307692
mins 1952 , noise_error =0.8288288288288288
mins 1953 , noise_error =0.8125
mins 1954 , noise_error =0.5964912280701755
mins 1955 , noise_error =0.34375
mins 1956 , noise_error =0.5425531914893618
mins 1957 , noise_error =0.4893617021276596
mins 1958 , noise_error =0.5408163265306123
mins 1959 , noise_error =0.3829787234042553
mins 1960 , noise_error =0.3152173913043478
mins 1961 , noise_error =0.21276595744680848
mins 1962 , noise_error =0.42708333333333337
mins 1963 , noise_error =0.18279569892473113
mins 1964 , noise_error =0.2471910112359551
mins 1965 , noise_error =0.19318181818181823
mins 1966 , noise_error =0.4901960784313726
mins 1967 , noise_error =0.47413793103448276
mins 1968 , noise_error =0.7614678899082569
mins 1969 , noise_error =0.8854166666666666
mins 1970 , noise_error =0.8651685393258427
mins 1971 , noise_error =0.9186046511627907
mins 1972 , noise_error =1.0
mins 1973 , noise_error =1.0
mins 1974 , noise_error =1.0
mins 1975 , noise_error =0.9891304347826086
mins 1976 , noise_error =1.0
mins 1977 , noise_error =0.9886363636363636
mins 1978 , noise_error =1.0
mins 1979 , noise_error =0.9795918367346939
mins 1980 , noise_error =0.898989898989899
mins 1981 , noise_error =0.8247422680412371
mins 1982 , noise_error =0.7659574468085106
mins 1983 , noise_error =0.875
mins 1984 , noise_error =1.0
mins 1985 , noise_error =1.0
mins 1986 , noise_error =1.0
mins 1987 , noise_error =1.0
mins 1988 , noise_error =1.0
mins 1989 , noise_error =1.0
mins 1990 , noise_error =1.0
mins 1991 , noise_error =0.9894736842105263
mins 1992 , noise_error =1.0
mins 1993 , noise_error =1.0
mins 1994 , noise_error =1.0
mins 1995 , noise_error =1.0
mins 1996 , noise_error =0.9895833333333334
mins 1997 , noise_error =0.9693877551020408
mins 1998 , noise_error =0.9270833333333334
mins 1999 , noise_error =1.0
mins 2000 , noise_error =1.0
mins 2001 , noise_error =0.9893617021276596
mins 2002 , noise_error =0.9791666666666666
mins 2003 , noise_error =1.0
mins 2004 , noise_error =1.0
mins 2005 , noise_error =1.0
mins 2006 , noise_error =1.0
mins 2007 , noise_error =1.0
mins 2008 , noise_error =1.0
mins 2009 , noise_error =1.0
mins 2010 , noise_error =0.9896907216494846
mins 2011 , noise_error =1.0
mins 2012 , noise_error =0.989247311827957
mins 2013 , noise_error =1.0
mins 2014 , noise_error =1.0
mins 2015 , noise_error =0.9306930693069306
mins 2016 , noise_error =0.85
mins 2017 , noise_error =0.7522935779816513
mins 2018 , noise_error =0.5833333333333333
mins 2019 , noise_error =0.5701754385964912
mins 2020 , noise_error =0.6105263157894737
mins 2021 , noise_error =0.6413043478260869
mins 2022 , noise_error =0.6774193548387097
mins 2023 , noise_error =0.9565217391304348
mins 2024 , noise_error =0.9782608695652174
mins 2025 , noise_error =1.0
mins 2026 , noise_error =1.0
mins 2027 , noise_error =1.0
mins 2028 , noise_error =0.967741935483871
mins 2029 , noise_error =0.9574468085106383
mins 2030 , noise_error =0.989247311827957
mins 2031 , noise_error =0.9247311827956989
mins 2032 , noise_error =0.8541666666666666
mins 2033 , noise_error =0.9680851063829787
mins 2034 , noise_error =0.8556701030927836
mins 2035 , noise_error =0.865979381443299
mins 2036 , noise_error =0.9313725490196079
mins 2037 , noise_error =0.956989247311828
mins 2038 , noise_error =0.8043478260869565
mins 2039 , noise_error =0.945054945054945
mins 2040 , noise_error =0.7525773195876289
mins 2041 , noise_error =0.978021978021978
mins 2042 , noise_error =1.0
mins 2043 , noise_error =1.0
mins 2044 , noise_error =0.967741935483871
mins 2045 , noise_error =1.0
mins 2046 , noise_error =1.0
mins 2047 , noise_error =1.0
mins 2048 , noise_error =1.0
mins 2049 , noise_error =0.9893617021276596
mins 2050 , noise_error =0.956989247311828
mins 2051 , noise_error =1.0
mins 2052 , noise_error =1.0
mins 2053 , noise_error =0.9090909090909091
mins 2054 , noise_error =0.48913043478260865
mins 2055 , noise_error =0.48351648351648346
mins 2056 , noise_error =0.5126050420168067
mins 2057 , noise_error =0.5920000000000001
mins 2058 , noise_error =0.8070175438596492
mins 2059 , noise_error =0.39583333333333337
mins 2060 , noise_error =0.12244897959183676
mins 2061 , noise_error =0.485981308411215
mins 2062 , noise_error =0.41346153846153844
mins 2063 , noise_error =0.339622641509434
mins 2064 , noise_error =0.18279569892473113
mins 2065 , noise_error =0.33333333333333337
mins 2066 , noise_error =0.5
mins 2067 , noise_error =0.47
mins 2068 , noise_error =0.5700000000000001
mins 2069 , noise_error =0.5660377358490566
mins 2070 , noise_error =0.5757575757575757
mins 2071 , noise_error =0.47115384615384615
mins 2072 , noise_error =0.5619047619047619
mins 2073 , noise_error =0.8272727272727273
mins 2074 , noise_error =0.7547169811320755
mins 2075 , noise_error =0.6132075471698113
mins 2076 , noise_error =0.49056603773584906
mins 2077 , noise_error =0.43518518518518523
mins 2078 , noise_error =0.375
mins 2079 , noise_error =0.5086206896551724
mins 2080 , noise_error =0.4956521739130435
mins 2081 , noise_error =0.5252525252525253
mins 2082 , noise_error =0.49056603773584906
mins 2083 , noise_error =0.5779816513761468
mins 2084 , noise_error =0.5299145299145299
mins 2085 , noise_error =0.4298245614035088
mins 2086 , noise_error =0.4495412844036697
mins 2087 , noise_error =0.6551724137931034
mins 2088 , noise_error =0.7589285714285714
mins 2089 , noise_error =0.6886792452830188
mins 2090 , noise_error =0.20408163265306123
mins 2091 , noise_error =0.2359550561797753
mins 2092 , noise_error =0.4051724137931034
mins 2093 , noise_error =0.6756756756756757
mins 2094 , noise_error =0.6902654867256637
mins 2095 , noise_error =0.35185185185185186
mins 2096 , noise_error =0.2596153846153846
mins 2097 , noise_error =0.4862385321100917
mins 2098 , noise_error =0.7563025210084033
mins 2099 , noise_error =0.5847457627118644
mins 2100 , noise_error =0.5229357798165137
mins 2101 , noise_error =0.6953125
mins 2102 , noise_error =0.4426229508196722
mins 2103 , noise_error =0.6771653543307087
mins 2104 , noise_error =0.6370967741935484
mins 2105 , noise_error =0.5476190476190477
mins 2106 , noise_error =0.4545454545454546
mins 2107 , noise_error =0.6050420168067228
mins 2108 , noise_error =0.625
mins 2109 , noise_error =0.7637795275590551
mins 2110 , noise_error =0.7218045112781954
mins 2111 , noise_error =0.3939393939393939
mins 2112 , noise_error =0.6159420289855073
mins 2113 , noise_error =0.7619047619047619
mins 2114 , noise_error =0.5905511811023623
mins 2115 , noise_error =0.5555555555555556
mins 2116 , noise_error =0.5241935483870968
mins 2117 , noise_error =0.8888888888888888
mins 2118 , noise_error =1.0
mins 2119 , noise_error =0.7477477477477478
