"Date","S_no","Season","AL_Type","TEM","HUM","PM1","PM2.5","CO2"
"2019-03-06 20:00~4","LA021",1,3,21.895,68.125,16.00385,18.6531,553.3
"2019-03-06 20:05~9","LA021",1,3,21.835,68.005,16.18895,18.39405,558.75
"2019-03-06 20:10~4","LA021",1,3,21.81,67.95,15.88045,18.58245,562.25
"2019-03-06 20:15~9","LA021",1,3,21.84,67.63,15.6028,18.0408,558.05
"2019-03-06 20:20~4","LA021",1,3,21.67,67.895,15.81875,18.2763,540.9
"2019-03-06 20:25~9","LA021",1,3,21.8052631578947,67.8631578947368,15.8431052631579,18.2837368421053,537.473684210526
"2019-03-06 20:30~4","LA021",1,3,21.9315789473684,67.6157894736842,15.6482631578947,18.3085263157895,545.368421052632
"2019-03-06 20:35~9","LA021",1,3,21.8894736842105,67.7578947368421,15.2910526315789,17.8871052631579,560
"2019-03-06 20:40~4","LA021",1,3,22.0315789473684,67.2263157894737,15.356,17.9862631578947,566.789473684211
"2019-03-06 20:45~9","LA021",1,3,22.1631578947368,67.0526315789474,15.4209473684211,17.8871052631579,560.947368421053
"2019-03-06 20:50~4","LA021",1,3,22.2578947368421,66.7421052631579,14.9013684210526,17.2425789473684,570.368421052632
"2019-03-06 20:55~9","LA021",1,3,22.26,66.625,14.89325,17.0046,572.6
"2019-03-06 21:00~4","LA021",1,3,22.39,66.285,14.739,16.88685,564.7
"2019-03-06 21:05~9","LA021",1,3,22.305,66.33,15.07835,17.12235,560.5
"2019-03-06 21:10~4","LA021",1,3,22.3473684210526,66.2052631578947,14.9338421052632,17.1682105263158,561.368421052632
"2019-03-06 21:15~9","LA021",1,3,22.2894736842105,66.3368421052632,14.9338421052632,17.193,563.052631578947
"2019-03-06 21:20~4","LA021",1,3,22.2789473684211,66.4,14.8688947368421,16.9698947368421,571.263157894737
"2019-03-06 21:25~9","LA021",1,3,22.1315789473684,66.9368421052632,14.7065263157895,16.8707368421053,571.210526315789
"2019-03-06 21:30~4","LA021",1,3,21.9777777777778,67.4277777777778,14.3962222222222,16.6435,569.444444444444
"2019-03-06 21:35~9","LA021",1,3,21.7526315789474,67.8947368421053,14.3493157894737,16.4245263157895,562.473684210526
