4101495,1.824141261529101,4101507,-0.6696411073684889
4101902,1.764289237389498,4101914,-0.6661431164782524
4102302,1.7111125481675207,4102314,-0.6713774007582131
4102711,1.8256798382637291,4102723,-0.677545431367134
4103124,1.889686010991074,4103135,-0.6981006153484123
4103532,1.8758324439733318,4103544,-0.6862858067490981
4103939,1.8532336821196957,4103951,-0.7291683698944471
4104347,1.8228142491260044,4104359,-0.6886450294525609
4104766,1.9353035269370369,4104778,-0.6942411631965337
4105184,2.002318987111883,4105196,-0.7019144813777755
4105595,1.9659222464047357,4105607,-0.6949628001573496
4106014,1.9341416188977116,4106026,-0.676443709021687
4106435,1.951412936236633,4106447,-0.6836523924706205
4106857,1.969875966380498,4106869,-0.6822943047218598
4107277,1.8160758916390918,4107289,-0.648474489948843
4107705,1.762481466632505,4107717,-0.6287183781272623
4108127,1.8257790758872643,4108139,-0.642229476887643
4108549,1.789852785565939,4108561,-0.668427273552872
4108959,1.6559723072783095,4108970,-0.6545152951115503
4109379,1.7370211048063267,4109391,-0.6315172753722799
4109794,1.7667122624930993,4109806,-0.6712975055063797
4110200,1.7888700317625013,4110212,-0.6879504429755129
4110608,1.823411265936398,4110620,-0.746921204225452
4111010,1.744070132799135,4111022,-0.645038253148759
4111415,1.8980143528854683,4111427,-0.6730349863247681
4111821,2.0027568947978387,4111833,-0.6686665591838187
4112225,1.964135349725355,4112237,-0.669896392282865
4112634,2.060878687323075,4112645,-0.7061528449022706
4113035,1.8359125849293574,4113047,-0.4552394948507835
4113448,2.081409169995731,4113460,-0.4284580897378788
4113860,2.3088397490054824,4113872,-0.5380345246786018
4114270,2.296978138459669,4114282,-0.6370523384749199
4114670,1.9781395400064374,4114682,-0.721502109554702
4115074,2.0117115184025947,4115085,-0.7472016662613926
4115467,2.1430952153498204,4115479,-0.777380670875376
4115856,2.1035459186057657,4115868,-0.7317087278407751
4116244,2.2727388288646626,4116256,-0.7006275518428005
4116630,2.2048466554926582,4116642,-0.7110655015879527
4117012,2.185564686279013,4117024,-0.6107731364879655
4117409,2.2363944942946454,4117420,-0.7060580802524705
4117793,2.2279693411951262,4117805,-0.7102209928654906
4118172,2.0279134013414764,4118184,-0.6617902880817341
4118559,2.075080468020047,4118570,-0.7365599499147123
4118937,2.1934523008090996,4118948,-0.8117783922197347
4119308,2.0743524630293027,4119319,-0.6402552810574704
4119686,2.235835138884577,4119698,-0.6862786488918226
4120057,2.1799793686116202,4120068,-0.824193014655236
4120423,1.6371518756437053,4120434,-0.8558209495597798
4120794,1.9097118708470249,4120806,-0.8279226588115057
4121160,1.9132051356686848,4121171,-0.7950895277991908
4121528,1.985129455040921,4121539,-0.7926370227381505
4121902,2.1233755646089043,4121913,-0.8373016261256101
4122278,1.9770721741675032,4122289,-0.9134823537357143
4122653,1.9103873148809065,4122665,-0.7881953998659095
4123035,2.076601543619192,4123046,-0.8791517976485096
4123418,2.0123470843215836,4123429,-0.8534992528835362
4123798,1.867459439063075,4123810,-0.8249645459565754
4124183,1.9512751438093767,4124194,-0.7946462258245321
4124567,1.9770928089225916,4124578,-0.8094611613957469
4124951,1.804997682341798,4124962,-0.8491377196662876
4125333,1.651327130222953,4125344,-0.7886546795474105
4125716,1.9328932667579701,4125727,-0.8599272963139478
4126090,1.7794487432042059,4126101,-0.9134025961362111
4126463,1.7771521714163168,4126475,-0.8240086708787985
4126839,1.9382707488886064,4126851,-0.8091269686033987
4127211,1.8940650745189265,4127222,-0.8620623559598225
4127580,1.8310469296544358,4127592,-0.7851768725473266
4127954,2.0317812542330715,4127966,-0.8021414536928305
4128327,1.925736704628497,4128338,-0.8263895048040821
4128695,1.6074092014305994,4128706,-0.7568400017698288
4129071,1.7975792550012994,4129083,-0.7811319448778639
4129446,2.0849948604110744,4129458,-0.8368088348159678
4129813,1.8632562392173933,4129825,-0.7445317055260005
4130188,1.8174046382808287,4130199,-0.6948337099460198
4130564,1.8617098457307573,4130576,-0.6513219527032932
4130933,1.8198522791729626,4130944,-0.6474330503875774
4131300,1.7126476755210607,4131311,-0.6643419340969793
4131671,1.6618428569868806,4131682,-0.6820461441763657
4132040,1.6503675125732222,4132051,-0.7184733060742408
4132410,1.6577843112134092,4132421,-0.7057726252681966
4132778,1.6081908055711263,4132790,-0.7446646611865565
4133146,1.5941939900660254,4133157,-0.7134243392055223
4133509,1.597185468353162,4133521,-0.6894604954975874
4133870,1.6326303547867695,4133882,-0.8135551418800064
4134229,1.5820763089089271,4134241,-0.8322016540965828
4134582,1.6358449387005227,4134594,-0.7669074051417356
4134944,1.6452266807120046,4134956,-0.7287987676388926
4135299,1.6202273930517812,4135311,-0.7454734685769571
4135649,1.5756870636834113,4135661,-0.6994757761600847
4136008,1.8422575907559164,4136019,-0.7666467102105785
4136373,2.0070215801288773,4136384,-0.869922000325622
4136740,1.690507171182591,4136752,-0.7076152403399266
4137106,1.6839181387378126,4137117,-0.7695292300530138
4137487,2.0258455511243167,4137498,-0.7839163580760005
4137864,1.9250402770717399,4137876,-0.8373865037323655
4138242,1.9929300355918222,4138253,-0.7415123666063155
4138629,2.2729740423048153,4138640,-0.763982596157129
4139018,1.9933000105107141,4139029,-0.8827938240848914
4139401,1.9174642329611018,4139413,-0.7311325500988004
4139790,2.095957275213445,4139801,-0.7634987118873711
4140177,2.131569586285268,4140188,-0.808249703744401
4140555,1.9138954650392934,4140566,-0.713677385391533
4140933,1.8695043807726246,4140945,-0.769921650730597
4141308,2.16186091314714,4141319,-0.7922907419668642
4141673,2.0400682612738312,4141685,-0.7072207736970141
