mins 1300 , noise_error =0.9787234042553191
mins 1301 , noise_error =0.9803921568627451
mins 1302 , noise_error =1.0
mins 1303 , noise_error =1.0
mins 1304 , noise_error =1.0
mins 1305 , noise_error =0.989247311827957
mins 1306 , noise_error =0.9787234042553191
mins 1307 , noise_error =0.9611650485436893
mins 1308 , noise_error =0.941747572815534
mins 1309 , noise_error =0.9903846153846154
mins 1310 , noise_error =1.0
mins 1311 , noise_error =1.0
mins 1312 , noise_error =1.0
mins 1313 , noise_error =1.0
mins 1314 , noise_error =1.0
mins 1315 , noise_error =1.0
mins 1316 , noise_error =0.967391304347826
mins 1317 , noise_error =1.0
mins 1318 , noise_error =1.0
mins 1319 , noise_error =1.0
mins 1320 , noise_error =1.0
mins 1321 , noise_error =0.9791666666666666
mins 1322 , noise_error =0.9791666666666666
mins 1323 , noise_error =0.9791666666666666
mins 1324 , noise_error =1.0
mins 1325 , noise_error =1.0
mins 1326 , noise_error =1.0
mins 1327 , noise_error =1.0
mins 1328 , noise_error =1.0
mins 1329 , noise_error =1.0
mins 1330 , noise_error =1.0
mins 1331 , noise_error =1.0
mins 1332 , noise_error =1.0
mins 1333 , noise_error =1.0
mins 1334 , noise_error =1.0
mins 1335 , noise_error =1.0
mins 1336 , noise_error =1.0
mins 1337 , noise_error =1.0
mins 1338 , noise_error =1.0
mins 1339 , noise_error =1.0
mins 1340 , noise_error =1.0
mins 1341 , noise_error =1.0
mins 1342 , noise_error =1.0
mins 1343 , noise_error =0.9811320754716981
mins 1344 , noise_error =1.0
mins 1345 , noise_error =1.0
mins 1346 , noise_error =1.0
mins 1347 , noise_error =1.0
mins 1348 , noise_error =1.0
mins 1349 , noise_error =0.9833333333333333
mins 1350 , noise_error =1.0
mins 1351 , noise_error =1.0
mins 1352 , noise_error =1.0
mins 1353 , noise_error =1.0
mins 1354 , noise_error =0.9777777777777777
mins 1355 , noise_error =1.0
mins 1356 , noise_error =1.0
mins 1357 , noise_error =1.0
mins 1358 , noise_error =1.0
mins 1359 , noise_error =1.0
mins 1360 , noise_error =1.0
mins 1361 , noise_error =1.0
mins 1362 , noise_error =1.0
mins 1363 , noise_error =0.981651376146789
mins 1364 , noise_error =1.0
mins 1365 , noise_error =1.0
mins 1366 , noise_error =1.0
mins 1367 , noise_error =1.0
mins 1368 , noise_error =1.0
mins 1369 , noise_error =1.0
mins 1370 , noise_error =1.0
mins 1371 , noise_error =1.0
mins 1372 , noise_error =1.0
mins 1373 , noise_error =1.0
mins 1374 , noise_error =1.0
mins 1375 , noise_error =1.0
mins 1376 , noise_error =1.0
mins 1377 , noise_error =0.9910714285714286
mins 1378 , noise_error =0.9824561403508771
mins 1379 , noise_error =0.9739130434782609
mins 1380 , noise_error =1.0
mins 1381 , noise_error =0.981651376146789
mins 1382 , noise_error =1.0
mins 1383 , noise_error =1.0
mins 1384 , noise_error =1.0
mins 1385 , noise_error =0.9823008849557522
mins 1386 , noise_error =1.0
mins 1387 , noise_error =1.0
mins 1388 , noise_error =1.0
mins 1389 , noise_error =1.0
mins 1390 , noise_error =0.9905660377358491
mins 1391 , noise_error =0.9908256880733946
mins 1392 , noise_error =0.963302752293578
mins 1393 , noise_error =0.9809523809523809
mins 1394 , noise_error =0.9809523809523809
mins 1395 , noise_error =1.0
mins 1396 , noise_error =1.0
mins 1397 , noise_error =0.9722222222222222
mins 1398 , noise_error =0.972972972972973
mins 1399 , noise_error =1.0
mins 1400 , noise_error =0.9824561403508771
mins 1401 , noise_error =1.0
mins 1402 , noise_error =1.0
mins 1403 , noise_error =1.0
mins 1404 , noise_error =0.981651376146789
mins 1405 , noise_error =1.0
mins 1406 , noise_error =1.0
mins 1407 , noise_error =1.0
mins 1408 , noise_error =1.0
mins 1409 , noise_error =1.0
mins 1410 , noise_error =1.0
mins 1411 , noise_error =1.0
mins 1412 , noise_error =1.0
mins 1413 , noise_error =1.0
mins 1414 , noise_error =1.0
mins 1415 , noise_error =0.9809523809523809
mins 1416 , noise_error =0.9814814814814815
mins 1417 , noise_error =1.0
mins 1418 , noise_error =1.0
mins 1419 , noise_error =1.0
mins 1420 , noise_error =1.0
mins 1421 , noise_error =1.0
mins 1422 , noise_error =1.0
mins 1423 , noise_error =1.0
mins 1424 , noise_error =0.9907407407407407
mins 1425 , noise_error =1.0
mins 1426 , noise_error =1.0
mins 1427 , noise_error =1.0
mins 1428 , noise_error =1.0
mins 1429 , noise_error =1.0
mins 1430 , noise_error =1.0
mins 1431 , noise_error =1.0
mins 1432 , noise_error =0.9494949494949495
mins 1433 , noise_error =0.9811320754716981
mins 1434 , noise_error =0.9902912621359223
mins 1435 , noise_error =1.0
mins 1436 , noise_error =1.0
mins 1437 , noise_error =1.0
mins 1438 , noise_error =1.0
mins 1439 , noise_error =1.0
mins 1440 , noise_error =1.0
mins 1441 , noise_error =1.0
mins 1442 , noise_error =1.0
mins 1443 , noise_error =1.0
mins 1444 , noise_error =0.9693877551020408
mins 1445 , noise_error =0.95
mins 1446 , noise_error =0.9803921568627451
mins 1447 , noise_error =1.0
mins 1448 , noise_error =1.0
mins 1449 , noise_error =1.0
mins 1450 , noise_error =1.0
mins 1451 , noise_error =1.0
mins 1452 , noise_error =0.98989898989899
mins 1453 , noise_error =0.979381443298969
mins 1454 , noise_error =1.0
mins 1455 , noise_error =1.0
mins 1456 , noise_error =0.9895833333333334
mins 1457 , noise_error =1.0
mins 1458 , noise_error =1.0
mins 1459 , noise_error =1.0
mins 1460 , noise_error =1.0
mins 1461 , noise_error =0.9893617021276596
mins 1462 , noise_error =1.0
mins 1463 , noise_error =1.0
mins 1464 , noise_error =1.0
mins 1465 , noise_error =1.0
mins 1466 , noise_error =1.0
mins 1467 , noise_error =1.0
mins 1468 , noise_error =0.989247311827957
mins 1469 , noise_error =1.0
mins 1470 , noise_error =1.0
mins 1471 , noise_error =1.0
mins 1472 , noise_error =1.0
mins 1473 , noise_error =1.0
mins 1474 , noise_error =1.0
mins 1475 , noise_error =1.0
mins 1476 , noise_error =1.0
mins 1477 , noise_error =0.9565217391304348
