mins 2510 , noise_error =0.9813084112149533
mins 2511 , noise_error =1.0
mins 2512 , noise_error =1.0
mins 2513 , noise_error =1.0
mins 2514 , noise_error =1.0
mins 2515 , noise_error =1.0
mins 2516 , noise_error =1.0
mins 2517 , noise_error =1.0
mins 2518 , noise_error =1.0
mins 2519 , noise_error =1.0
mins 2520 , noise_error =0.981651376146789
mins 2521 , noise_error =1.0
mins 2522 , noise_error =1.0
mins 2523 , noise_error =1.0
mins 2524 , noise_error =1.0
mins 2525 , noise_error =0.9813084112149533
mins 2526 , noise_error =1.0
mins 2527 , noise_error =1.0
mins 2528 , noise_error =1.0
mins 2529 , noise_error =1.0
mins 2530 , noise_error =1.0
mins 2531 , noise_error =1.0
mins 2532 , noise_error =0.9818181818181818
mins 2533 , noise_error =0.990990990990991
mins 2534 , noise_error =1.0
mins 2535 , noise_error =1.0
mins 2536 , noise_error =1.0
mins 2537 , noise_error =1.0
mins 2538 , noise_error =0.9818181818181818
mins 2539 , noise_error =0.981651376146789
mins 2540 , noise_error =1.0
mins 2541 , noise_error =1.0
mins 2542 , noise_error =1.0
mins 2543 , noise_error =0.9813084112149533
mins 2544 , noise_error =1.0
mins 2545 , noise_error =0.9903846153846154
mins 2546 , noise_error =0.990909090909091
mins 2547 , noise_error =1.0
mins 2548 , noise_error =1.0
mins 2549 , noise_error =1.0
mins 2550 , noise_error =1.0
mins 2551 , noise_error =0.9811320754716981
mins 2552 , noise_error =1.0
mins 2553 , noise_error =1.0
mins 2554 , noise_error =1.0
mins 2555 , noise_error =0.99
mins 2556 , noise_error =1.0
mins 2557 , noise_error =0.9714285714285714
mins 2558 , noise_error =1.0
mins 2559 , noise_error =1.0
mins 2560 , noise_error =1.0
mins 2561 , noise_error =0.9807692307692307
mins 2562 , noise_error =1.0
mins 2563 , noise_error =0.9719626168224299
mins 2564 , noise_error =1.0
mins 2565 , noise_error =1.0
mins 2566 , noise_error =0.9813084112149533
mins 2567 , noise_error =0.990909090909091
mins 2568 , noise_error =0.9655172413793104
mins 2569 , noise_error =0.9831932773109243
mins 2570 , noise_error =1.0
mins 2571 , noise_error =1.0
mins 2572 , noise_error =1.0
mins 2573 , noise_error =1.0
mins 2574 , noise_error =0.9823008849557522
mins 2575 , noise_error =1.0
mins 2576 , noise_error =1.0
mins 2577 , noise_error =1.0
mins 2578 , noise_error =1.0
mins 2579 , noise_error =1.0
mins 2580 , noise_error =1.0
