id,date,time,sht_t,sht_h,pm1,,pm25,pm10,co2,adc,acc_x,acc_y,acc_z,accx_int,accy_int,accz_int,accx_i,accy_i,accz_i,sht_t_ext,sht_h_ext,gps_lat,gps_lon,gps_alt,gps_speed,gps_dir,gps_fix,pressure,ai1_1,ai1_2,ai1_3,ai1_4,ai2_1,ai2_2,ai2_3,ai2_4,ERR
0C9A4249DBE3,2020/4/9,00:07:15,27.8,53.1,264,,589,667,525,0,1,0,63,62,42,32,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:07:30,27.8,53.2,267,,596,675,525,0,1,0,63,72,54,40,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:07:45,27.7,53.2,267,,598,681,524,0,1,0,63,59,38,40,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:08:00,27.8,53.2,266,,606,681,525,0,2,0,63,80,52,28,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:08:15,27.8,53.2,267,,601,675,525,0,2,0,63,73,48,43,1,0,62,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:08:30,27.8,53.2,269,,605,675,524,0,1,0,62,69,48,35,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:08:45,27.7,53.2,269,,604,671,524,0,2,0,63,78,56,32,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:09:00,27.8,53.2,270,,605,669,523,0,2,0,63,71,62,44,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:09:15,27.7,53.1,271,,602,669,523,0,1,0,63,63,46,16,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:09:30,27.7,53.2,270,,600,672,523,0,2,0,63,65,41,32,1,-1,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:09:45,27.7,53.1,267,,599,676,523,0,1,-1,63,72,39,24,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:10:00,27.8,53.2,266,,602,676,523,0,1,0,63,66,42,35,1,0,62,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:10:15,27.8,53.2,267,,605,681,523,0,1,0,62,71,44,37,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:10:30,27.8,53.2,269,,605,680,522,0,2,0,63,73,40,27,1,0,62,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:10:45,27.8,53.2,269,,599,674,523,0,1,0,62,69,48,35,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:11:00,27.7,53.2,267,,599,668,521,0,2,0,63,66,44,36,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:11:15,27.7,53.2,260,,582,650,521,0,2,0,63,60,44,34,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:11:30,27.8,53.2,271,,605,676,521,0,2,0,63,61,44,54,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:11:45,27.7,53.2,269,,592,662,523,0,1,0,63,63,36,22,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:12:00,27.7,53.2,270,,595,671,523,0,2,0,63,81,62,46,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:12:15,27.7,53.2,272,,593,667,523,0,1,0,63,68,46,42,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:12:30,27.7,53.2,271,,593,665,522,0,1,0,63,72,54,54,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:12:45,27.7,53.2,270,,591,664,522,0,1,0,63,64,50,38,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:13:00,27.8,53.2,267,,593,669,521,0,1,0,63,72,49,28,1,1,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:13:15,27.7,53.2,267,,591,664,522,0,1,1,63,65,63,44,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:13:30,27.7,53.2,267,,596,661,522,0,2,0,63,67,42,46,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:13:45,27.7,53.2,266,,597,663,522,0,1,0,63,70,34,37,1,0,62,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:14:00,27.8,53.2,264,,596,662,522,0,1,0,62,54,50,41,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:14:15,27.7,53.2,264,,594,660,523,0,1,0,63,72,44,44,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:14:30,27.7,53.2,266,,589,657,522,0,1,0,63,67,44,34,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:14:45,27.8,53.2,265,,591,673,524,0,2,0,63,63,30,32,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:15:00,27.7,53.2,262,,589,671,523,0,1,0,63,54,44,30,1,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:15:15,27.7,53.2,266,,589,671,523,0,1,0,63,62,32,41,1,0,62,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C9A4249DBE3,2020/4/9,00:15:30,27.7,53.2,267,,590,659,523,0,1,0,62,61,56,41,2,0,63,0,0,25.039288,121.612939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
