mins 1650 , noise_error =1.0
mins 1651 , noise_error =1.0
mins 1652 , noise_error =0.9908256880733946
mins 1653 , noise_error =1.0
mins 1654 , noise_error =1.0
mins 1655 , noise_error =0.981651376146789
mins 1656 , noise_error =0.9819819819819819
mins 1657 , noise_error =0.9826086956521739
mins 1658 , noise_error =0.959349593495935
mins 1659 , noise_error =1.0
mins 1660 , noise_error =0.9834710743801653
mins 1661 , noise_error =0.9834710743801653
mins 1662 , noise_error =0.9829059829059829
mins 1663 , noise_error =1.0
mins 1664 , noise_error =0.9914529914529915
mins 1665 , noise_error =1.0
mins 1666 , noise_error =1.0
mins 1667 , noise_error =1.0
mins 1668 , noise_error =1.0
mins 1669 , noise_error =1.0
mins 1670 , noise_error =1.0
mins 1671 , noise_error =0.9907407407407407
mins 1672 , noise_error =1.0
mins 1673 , noise_error =1.0
mins 1674 , noise_error =1.0
mins 1675 , noise_error =1.0
mins 1676 , noise_error =1.0
mins 1677 , noise_error =0.9813084112149533
mins 1678 , noise_error =1.0
mins 1679 , noise_error =1.0
mins 1680 , noise_error =1.0
mins 1681 , noise_error =1.0
mins 1682 , noise_error =1.0
mins 1683 , noise_error =0.9814814814814815
mins 1684 , noise_error =1.0
mins 1685 , noise_error =1.0
mins 1686 , noise_error =1.0
mins 1687 , noise_error =1.0
mins 1688 , noise_error =1.0
mins 1689 , noise_error =1.0
mins 1690 , noise_error =1.0
mins 1691 , noise_error =1.0
mins 1692 , noise_error =1.0
mins 1693 , noise_error =1.0
mins 1694 , noise_error =1.0
mins 1695 , noise_error =1.0
mins 1696 , noise_error =1.0
mins 1697 , noise_error =1.0
mins 1698 , noise_error =1.0
mins 1699 , noise_error =1.0
mins 1700 , noise_error =1.0
mins 1701 , noise_error =1.0
mins 1702 , noise_error =1.0
mins 1703 , noise_error =1.0
mins 1704 , noise_error =1.0
mins 1705 , noise_error =1.0
mins 1706 , noise_error =1.0
mins 1707 , noise_error =0.9917355371900827
mins 1708 , noise_error =0.9663865546218487
mins 1709 , noise_error =1.0
mins 1710 , noise_error =1.0
mins 1711 , noise_error =1.0
mins 1712 , noise_error =0.9508196721311475
mins 1713 , noise_error =1.0
mins 1714 , noise_error =1.0
mins 1715 , noise_error =1.0
mins 1716 , noise_error =1.0
mins 1717 , noise_error =1.0
mins 1718 , noise_error =1.0
mins 1719 , noise_error =1.0
mins 1720 , noise_error =1.0
mins 1721 , noise_error =1.0
mins 1722 , noise_error =1.0
mins 1723 , noise_error =1.0
mins 1724 , noise_error =0.9649122807017544
mins 1725 , noise_error =0.8739495798319328
mins 1726 , noise_error =0.9834710743801653
mins 1727 , noise_error =0.975
mins 1728 , noise_error =0.9819819819819819
mins 1729 , noise_error =0.981651376146789
mins 1730 , noise_error =0.990909090909091
mins 1731 , noise_error =1.0
mins 1732 , noise_error =1.0
mins 1733 , noise_error =1.0
mins 1734 , noise_error =0.9906542056074766
mins 1735 , noise_error =1.0
mins 1736 , noise_error =1.0
mins 1737 , noise_error =1.0
mins 1738 , noise_error =0.9821428571428571
mins 1739 , noise_error =0.9827586206896551
mins 1740 , noise_error =0.8869565217391304
mins 1741 , noise_error =0.9743589743589743
mins 1742 , noise_error =0.9745762711864406
mins 1743 , noise_error =0.9469026548672567
mins 1744 , noise_error =1.0
mins 1745 , noise_error =0.9478260869565217
mins 1746 , noise_error =0.9913793103448276
mins 1747 , noise_error =0.9914529914529915
mins 1748 , noise_error =1.0
mins 1749 , noise_error =0.9646017699115044
mins 1750 , noise_error =0.981651376146789
mins 1751 , noise_error =0.9469026548672567
mins 1752 , noise_error =0.9304347826086956
mins 1753 , noise_error =1.0
mins 1754 , noise_error =0.9338842975206612
mins 1755 , noise_error =0.9655172413793104
mins 1756 , noise_error =0.9827586206896551
mins 1757 , noise_error =0.9663865546218487
mins 1758 , noise_error =0.9915254237288136
mins 1759 , noise_error =1.0
mins 1760 , noise_error =0.9897959183673469
mins 1761 , noise_error =1.0
mins 1762 , noise_error =1.0
mins 1763 , noise_error =0.9902912621359223
mins 1764 , noise_error =1.0
mins 1765 , noise_error =0.9615384615384616
mins 1766 , noise_error =0.9826086956521739
mins 1767 , noise_error =1.0
mins 1768 , noise_error =1.0
mins 1769 , noise_error =1.0
mins 1770 , noise_error =1.0
mins 1771 , noise_error =0.9819819819819819
mins 1772 , noise_error =0.9827586206896551
mins 1773 , noise_error =0.9747899159663865
mins 1774 , noise_error =1.0
mins 1775 , noise_error =1.0
mins 1776 , noise_error =1.0
mins 1777 , noise_error =1.0
mins 1778 , noise_error =1.0
mins 1779 , noise_error =0.9912280701754386
mins 1780 , noise_error =1.0
mins 1781 , noise_error =1.0
mins 1782 , noise_error =1.0
mins 1783 , noise_error =1.0
mins 1784 , noise_error =1.0
mins 1785 , noise_error =1.0
mins 1786 , noise_error =1.0
mins 1787 , noise_error =1.0
mins 1788 , noise_error =1.0
mins 1789 , noise_error =1.0
mins 1790 , noise_error =1.0
mins 1791 , noise_error =1.0
mins 1792 , noise_error =0.990909090909091
mins 1793 , noise_error =1.0
mins 1794 , noise_error =1.0
mins 1795 , noise_error =1.0
mins 1796 , noise_error =0.9813084112149533
mins 1797 , noise_error =1.0
mins 1798 , noise_error =1.0
mins 1799 , noise_error =1.0
mins 1800 , noise_error =0.9907407407407407
mins 1801 , noise_error =1.0
mins 1802 , noise_error =1.0
mins 1803 , noise_error =0.9910714285714286
mins 1804 , noise_error =0.990909090909091
mins 1805 , noise_error =0.9727272727272728
mins 1806 , noise_error =0.9734513274336283
mins 1807 , noise_error =1.0
mins 1808 , noise_error =0.990990990990991
mins 1809 , noise_error =0.9326923076923077
mins 1810 , noise_error =0.6818181818181819
mins 1811 , noise_error =0.794392523364486
mins 1812 , noise_error =0.787037037037037
mins 1813 , noise_error =0.8672566371681416
mins 1814 , noise_error =0.7757009345794392
mins 1815 , noise_error =0.7699115044247787
mins 1816 , noise_error =0.85
mins 1817 , noise_error =1.0
mins 1818 , noise_error =1.0
mins 1819 , noise_error =1.0
mins 1820 , noise_error =1.0
mins 1821 , noise_error =0.9833333333333333
mins 1822 , noise_error =0.9838709677419355
mins 1823 , noise_error =1.0
mins 1824 , noise_error =1.0
mins 1825 , noise_error =1.0
mins 1826 , noise_error =1.0
mins 1827 , noise_error =1.0
mins 1828 , noise_error =1.0
mins 1829 , noise_error =1.0
mins 1830 , noise_error =1.0
mins 1831 , noise_error =1.0
mins 1832 , noise_error =1.0
mins 1833 , noise_error =0.9826086956521739
mins 1834 , noise_error =0.9819819819819819
mins 1835 , noise_error =1.0
mins 1836 , noise_error =1.0
mins 1837 , noise_error =1.0
mins 1838 , noise_error =1.0
mins 1839 , noise_error =1.0
mins 1840 , noise_error =1.0
mins 1841 , noise_error =1.0
mins 1842 , noise_error =1.0
mins 1843 , noise_error =1.0
mins 1844 , noise_error =1.0
mins 1845 , noise_error =1.0
mins 1846 , noise_error =0.9809523809523809
mins 1847 , noise_error =1.0
mins 1848 , noise_error =1.0
mins 1849 , noise_error =1.0
mins 1850 , noise_error =0.9905660377358491
mins 1851 , noise_error =1.0
mins 1852 , noise_error =1.0
mins 1853 , noise_error =1.0
mins 1854 , noise_error =1.0
mins 1855 , noise_error =1.0
mins 1856 , noise_error =1.0
mins 1857 , noise_error =0.9805825242718447
mins 1858 , noise_error =1.0
mins 1859 , noise_error =1.0
mins 1860 , noise_error =1.0
mins 1861 , noise_error =1.0
mins 1862 , noise_error =1.0
mins 1863 , noise_error =1.0
mins 1864 , noise_error =0.9911504424778761
mins 1865 , noise_error =1.0
mins 1866 , noise_error =1.0
mins 1867 , noise_error =1.0
mins 1868 , noise_error =1.0
mins 1869 , noise_error =1.0
mins 1870 , noise_error =1.0
mins 1871 , noise_error =0.9911504424778761
mins 1872 , noise_error =0.9819819819819819
mins 1873 , noise_error =1.0
mins 1874 , noise_error =1.0
mins 1875 , noise_error =1.0
mins 1876 , noise_error =1.0
mins 1877 , noise_error =1.0
mins 1878 , noise_error =1.0
mins 1879 , noise_error =1.0
