mins 1100 , noise_error =0.9047619047619048
mins 1101 , noise_error =0.9920634920634921
mins 1102 , noise_error =0.7421875
mins 1103 , noise_error =0.944
mins 1104 , noise_error =0.9016393442622951
mins 1105 , noise_error =1.0
mins 1106 , noise_error =1.0
mins 1107 , noise_error =0.9716981132075472
mins 1108 , noise_error =0.9902912621359223
mins 1109 , noise_error =1.0
mins 1110 , noise_error =1.0
mins 1111 , noise_error =0.9519230769230769
mins 1112 , noise_error =0.8709677419354839
mins 1113 , noise_error =1.0
mins 1114 , noise_error =0.9767441860465116
mins 1115 , noise_error =0.9213483146067416
mins 1116 , noise_error =0.9010989010989011
mins 1117 , noise_error =1.0
mins 1118 , noise_error =1.0
mins 1119 , noise_error =1.0
mins 1120 , noise_error =0.8913043478260869
mins 1121 , noise_error =0.9662921348314607
mins 1122 , noise_error =0.9340659340659341
mins 1123 , noise_error =0.9775280898876404
mins 1124 , noise_error =0.9882352941176471
mins 1125 , noise_error =0.96875
mins 1126 , noise_error =1.0
mins 1127 , noise_error =1.0
mins 1128 , noise_error =1.0
mins 1129 , noise_error =1.0
mins 1130 , noise_error =0.9537037037037037
mins 1131 , noise_error =1.0
mins 1132 , noise_error =1.0
mins 1133 , noise_error =0.981651376146789
mins 1134 , noise_error =0.9245283018867925
mins 1135 , noise_error =0.7383177570093458
mins 1136 , noise_error =0.9285714285714286
mins 1137 , noise_error =0.9032258064516129
mins 1138 , noise_error =0.9880952380952381
mins 1139 , noise_error =0.9761904761904762
mins 1140 , noise_error =1.0
mins 1141 , noise_error =0.9302325581395349
mins 1142 , noise_error =0.9555555555555556
mins 1143 , noise_error =1.0
mins 1144 , noise_error =0.9882352941176471
mins 1145 , noise_error =0.9101123595505618
mins 1146 , noise_error =0.9666666666666667
mins 1147 , noise_error =1.0
mins 1148 , noise_error =1.0
mins 1149 , noise_error =1.0
mins 1150 , noise_error =0.9772727272727273
mins 1151 , noise_error =0.9347826086956522
mins 1152 , noise_error =0.9375
mins 1153 , noise_error =0.9777777777777777
mins 1154 , noise_error =1.0
mins 1155 , noise_error =1.0
mins 1156 , noise_error =1.0
mins 1157 , noise_error =1.0
mins 1158 , noise_error =1.0
mins 1159 , noise_error =0.9438202247191011
mins 1160 , noise_error =0.9574468085106383
mins 1161 , noise_error =0.9021739130434783
mins 1162 , noise_error =1.0
mins 1163 , noise_error =1.0
mins 1164 , noise_error =1.0
mins 1165 , noise_error =1.0
mins 1166 , noise_error =1.0
mins 1167 , noise_error =0.9777777777777777
mins 1168 , noise_error =1.0
mins 1169 , noise_error =1.0
mins 1170 , noise_error =0.8764044943820225
mins 1171 , noise_error =0.8977272727272727
mins 1172 , noise_error =1.0
mins 1173 , noise_error =0.9545454545454546
mins 1174 , noise_error =0.9285714285714286
mins 1175 , noise_error =0.9882352941176471
mins 1176 , noise_error =0.9550561797752809
mins 1177 , noise_error =1.0
mins 1178 , noise_error =1.0
mins 1179 , noise_error =1.0
mins 1180 , noise_error =1.0
mins 1181 , noise_error =1.0
mins 1182 , noise_error =1.0
mins 1183 , noise_error =1.0
mins 1184 , noise_error =1.0
mins 1185 , noise_error =1.0
mins 1186 , noise_error =0.962962962962963
mins 1187 , noise_error =0.9156626506024097
mins 1188 , noise_error =0.9767441860465116
mins 1189 , noise_error =0.9878048780487805
mins 1190 , noise_error =1.0
mins 1191 , noise_error =1.0
mins 1192 , noise_error =1.0
mins 1193 , noise_error =1.0
mins 1194 , noise_error =1.0
mins 1195 , noise_error =0.9651162790697675
mins 1196 , noise_error =1.0
mins 1197 , noise_error =1.0
mins 1198 , noise_error =1.0
mins 1199 , noise_error =0.9634146341463414
mins 1200 , noise_error =1.0
mins 1201 , noise_error =1.0
mins 1202 , noise_error =1.0
mins 1203 , noise_error =1.0
mins 1204 , noise_error =0.9146341463414634
mins 1205 , noise_error =1.0
mins 1206 , noise_error =1.0
mins 1207 , noise_error =0.9876543209876543
mins 1208 , noise_error =1.0
mins 1209 , noise_error =1.0
mins 1210 , noise_error =1.0
mins 1211 , noise_error =1.0
mins 1212 , noise_error =1.0
mins 1213 , noise_error =0.9767441860465116
mins 1214 , noise_error =0.9647058823529412
mins 1215 , noise_error =0.9659090909090909
mins 1216 , noise_error =1.0
mins 1217 , noise_error =1.0
mins 1218 , noise_error =0.9885057471264368
mins 1219 , noise_error =1.0
mins 1220 , noise_error =1.0
mins 1221 , noise_error =1.0
mins 1222 , noise_error =1.0
mins 1223 , noise_error =1.0
mins 1224 , noise_error =1.0
mins 1225 , noise_error =1.0
mins 1226 , noise_error =1.0
