mins 2768 , noise_error =0.7477477477477478
mins 2769 , noise_error =0.6052631578947368
mins 2770 , noise_error =0.8839285714285714
mins 2771 , noise_error =0.6055045871559632
mins 2772 , noise_error =0.5178571428571428
mins 2773 , noise_error =0.875
mins 2774 , noise_error =0.8672566371681416
mins 2775 , noise_error =0.5754716981132075
mins 2776 , noise_error =0.5495495495495495
mins 2777 , noise_error =0.6548672566371682
mins 2778 , noise_error =0.5922330097087378
mins 2779 , noise_error =0.75
mins 2780 , noise_error =0.7079646017699115
mins 2781 , noise_error =0.6168224299065421
mins 2782 , noise_error =0.8454545454545455
mins 2783 , noise_error =0.7542372881355932
mins 2784 , noise_error =0.5982142857142857
mins 2785 , noise_error =0.6111111111111112
mins 2786 , noise_error =0.940677966101695
mins 2787 , noise_error =0.6991150442477876
mins 2788 , noise_error =0.28888888888888886
mins 2789 , noise_error =0.46601941747572817
mins 2790 , noise_error =0.4040404040404041
mins 2791 , noise_error =0.8468468468468469
mins 2792 , noise_error =0.6886792452830188
mins 2793 , noise_error =0.240506329113924
mins 2794 , noise_error =0.45999999999999996
mins 2795 , noise_error =0.6818181818181819
mins 2796 , noise_error =0.5225225225225225
mins 2797 , noise_error =0.8
mins 2798 , noise_error =0.75
mins 2799 , noise_error =0.6237623762376238
mins 2800 , noise_error =1.0
mins 2801 , noise_error =1.0
mins 2802 , noise_error =0.9626168224299065
mins 2803 , noise_error =0.7522935779816513
mins 2804 , noise_error =0.7304347826086957
mins 2805 , noise_error =0.8034188034188035
mins 2806 , noise_error =0.8067226890756303
mins 2807 , noise_error =0.5288461538461539
mins 2808 , noise_error =0.6695652173913044
mins 2809 , noise_error =0.4639175257731959
mins 2810 , noise_error =0.38383838383838387
mins 2811 , noise_error =0.6818181818181819
mins 2812 , noise_error =0.9702970297029703
mins 2813 , noise_error =0.9795918367346939
mins 2814 , noise_error =0.9902912621359223
mins 2815 , noise_error =1.0
mins 2816 , noise_error =0.979381443298969
mins 2817 , noise_error =1.0
mins 2818 , noise_error =0.3285714285714286
mins 2819 , noise_error =0.638095238095238
mins 2820 , noise_error =0.7058823529411764
mins 2821 , noise_error =0.8448275862068966
mins 2822 , noise_error =0.9333333333333333
mins 2823 , noise_error =1.0
mins 2824 , noise_error =0.9117647058823529
mins 2825 , noise_error =0.6695652173913044
mins 2826 , noise_error =0.6695652173913044
mins 2827 , noise_error =0.5416666666666667
mins 2828 , noise_error =0.7394957983193278
mins 2829 , noise_error =0.7596153846153846
