mins 180 , noise_error =0.9313725490196079
mins 181 , noise_error =0.9603960396039604
mins 182 , noise_error =0.8235294117647058
mins 183 , noise_error =0.8947368421052632
mins 184 , noise_error =0.7714285714285715
mins 185 , noise_error =0.9069767441860466
mins 186 , noise_error =0.963302752293578
mins 187 , noise_error =1.0
mins 188 , noise_error =0.8514851485148515
mins 189 , noise_error =0.7350427350427351
mins 190 , noise_error =0.75
mins 191 , noise_error =0.7794117647058824
mins 192 , noise_error =0.928
mins 193 , noise_error =0.784
mins 194 , noise_error =0.9338235294117647
mins 195 , noise_error =0.9830508474576272
mins 196 , noise_error =0.9153846153846154
mins 197 , noise_error =0.9908256880733946
mins 198 , noise_error =1.0
mins 199 , noise_error =0.9459459459459459
mins 200 , noise_error =0.8813559322033898
mins 201 , noise_error =0.9803921568627451
mins 202 , noise_error =1.0
mins 203 , noise_error =0.9705882352941176
mins 204 , noise_error =1.0
mins 205 , noise_error =0.9809523809523809
mins 206 , noise_error =0.8090909090909091
mins 207 , noise_error =0.8125
mins 208 , noise_error =1.0
mins 209 , noise_error =1.0
mins 210 , noise_error =0.907563025210084
mins 211 , noise_error =0.8837209302325582
mins 212 , noise_error =0.8305084745762712
mins 213 , noise_error =0.639344262295082
mins 214 , noise_error =0.7317073170731707
mins 215 , noise_error =0.85
mins 216 , noise_error =1.0
mins 217 , noise_error =1.0
mins 218 , noise_error =1.0
mins 219 , noise_error =1.0
mins 220 , noise_error =1.0
mins 221 , noise_error =0.9357798165137614
mins 222 , noise_error =0.9444444444444444
mins 223 , noise_error =0.9444444444444444
mins 224 , noise_error =0.9907407407407407
mins 225 , noise_error =0.9658119658119658
mins 226 , noise_error =1.0
mins 227 , noise_error =0.9911504424778761
mins 228 , noise_error =1.0
mins 229 , noise_error =1.0
mins 230 , noise_error =1.0
mins 231 , noise_error =0.9910714285714286
mins 232 , noise_error =1.0
mins 233 , noise_error =1.0
mins 234 , noise_error =1.0
mins 235 , noise_error =1.0
mins 236 , noise_error =1.0
mins 237 , noise_error =1.0
mins 238 , noise_error =1.0
mins 239 , noise_error =1.0
mins 240 , noise_error =1.0
mins 241 , noise_error =1.0
