mins 2250 , noise_error =1.0
mins 2251 , noise_error =1.0
mins 2252 , noise_error =0.9772727272727273
mins 2253 , noise_error =0.9813084112149533
mins 2254 , noise_error =0.9821428571428571
mins 2255 , noise_error =0.9887640449438202
mins 2256 , noise_error =0.8723404255319149
mins 2257 , noise_error =0.9772727272727273
mins 2258 , noise_error =0.9052631578947369
mins 2259 , noise_error =0.9285714285714286
mins 2260 , noise_error =0.9764705882352941
mins 2261 , noise_error =1.0
mins 2262 , noise_error =1.0
mins 2263 , noise_error =1.0
mins 2264 , noise_error =1.0
mins 2265 , noise_error =1.0
mins 2266 , noise_error =0.9863013698630136
mins 2267 , noise_error =1.0
mins 2268 , noise_error =1.0
mins 2269 , noise_error =1.0
mins 2270 , noise_error =1.0
mins 2271 , noise_error =1.0
mins 2272 , noise_error =1.0
mins 2273 , noise_error =1.0
mins 2274 , noise_error =0.8554216867469879
mins 2275 , noise_error =1.0
mins 2276 , noise_error =1.0
mins 2277 , noise_error =1.0
mins 2278 , noise_error =1.0
mins 2279 , noise_error =1.0
mins 2280 , noise_error =1.0
mins 2281 , noise_error =1.0
mins 2282 , noise_error =1.0
mins 2283 , noise_error =1.0
mins 2284 , noise_error =1.0
mins 2285 , noise_error =1.0
mins 2286 , noise_error =0.9692307692307692
mins 2287 , noise_error =1.0
mins 2288 , noise_error =1.0
mins 2289 , noise_error =0.9848484848484849
mins 2290 , noise_error =1.0
mins 2291 , noise_error =1.0
mins 2292 , noise_error =0.9696969696969697
mins 2293 , noise_error =0.9696969696969697
mins 2294 , noise_error =1.0
mins 2295 , noise_error =1.0
mins 2296 , noise_error =1.0
mins 2297 , noise_error =1.0
mins 2298 , noise_error =1.0
mins 2299 , noise_error =0.953125
mins 2300 , noise_error =1.0
mins 2301 , noise_error =1.0
mins 2302 , noise_error =1.0
mins 2303 , noise_error =0.9838709677419355
mins 2304 , noise_error =0.9841269841269842
mins 2305 , noise_error =0.9696969696969697
mins 2306 , noise_error =0.9696969696969697
mins 2307 , noise_error =0.9117647058823529
mins 2308 , noise_error =1.0
mins 2309 , noise_error =1.0
mins 2310 , noise_error =0.9846153846153847
mins 2311 , noise_error =0.9841269841269842
mins 2312 , noise_error =1.0
mins 2313 , noise_error =1.0
mins 2314 , noise_error =1.0
mins 2315 , noise_error =1.0
mins 2316 , noise_error =1.0
mins 2317 , noise_error =0.890625
mins 2318 , noise_error =0.9047619047619048
mins 2319 , noise_error =0.9523809523809523
mins 2320 , noise_error =0.9523809523809523
mins 2321 , noise_error =0.96875
mins 2322 , noise_error =1.0
mins 2323 , noise_error =1.0
mins 2324 , noise_error =0.9523809523809523
mins 2325 , noise_error =1.0
mins 2326 , noise_error =1.0
mins 2327 , noise_error =1.0
mins 2328 , noise_error =1.0
mins 2329 , noise_error =1.0
mins 2330 , noise_error =0.9285714285714286
mins 2331 , noise_error =1.0
mins 2332 , noise_error =1.0
mins 2333 , noise_error =0.9846153846153847
mins 2334 , noise_error =1.0
mins 2335 , noise_error =0.9846153846153847
mins 2336 , noise_error =1.0
mins 2337 , noise_error =1.0
mins 2338 , noise_error =0.984375
mins 2339 , noise_error =0.984375
mins 2340 , noise_error =1.0
mins 2341 , noise_error =1.0
mins 2342 , noise_error =1.0
mins 2343 , noise_error =0.9692307692307692
mins 2344 , noise_error =0.9692307692307692
mins 2345 , noise_error =1.0
mins 2346 , noise_error =1.0
mins 2347 , noise_error =1.0
mins 2348 , noise_error =1.0
mins 2349 , noise_error =1.0
mins 2350 , noise_error =1.0
mins 2351 , noise_error =1.0
mins 2352 , noise_error =1.0
mins 2353 , noise_error =1.0
mins 2354 , noise_error =0.9538461538461538
mins 2355 , noise_error =0.9076923076923077
mins 2356 , noise_error =1.0
mins 2357 , noise_error =1.0
mins 2358 , noise_error =0.9841269841269842
mins 2359 , noise_error =1.0
mins 2360 , noise_error =1.0
mins 2361 , noise_error =1.0
mins 2362 , noise_error =1.0
mins 2363 , noise_error =1.0
mins 2364 , noise_error =1.0
mins 2365 , noise_error =1.0
mins 2366 , noise_error =1.0
mins 2367 , noise_error =1.0
mins 2368 , noise_error =1.0
mins 2369 , noise_error =1.0
mins 2370 , noise_error =1.0
mins 2371 , noise_error =1.0
mins 2372 , noise_error =0.9714285714285714
