115,107,100
114,103,88
106,99,90
114,106,96
114,102,88
99,94,89
102,97,93
104,97,91
105,99,95
103,98,91
107,97,90
99,96,93
105,98,88
111,96,87
105,95,88
104,94,85
100,93,86
101,94,87
103,94,83
96,91,85
102,96,92
103,95,88
100,94,89
101,93,87
103,94,88
102,92,85
102,94,87
106,96,89
99,94,85
101,94,79
102,93,83
97,92,84
102,93,88
101,94,86
108,100,85
119,109,92
110,103,91
109,102,97
111,104,92
111,102,95
106,100,92
99,94,88
100,94,88
97,93,88
100,94,90
97,93,88
117,99,88
122,113,93
122,112,100
109,99,78
111,98,87
108,95,80
105,96,87
107,97,90
107,99,93
109,97,84
100,94,90
102,93,85
108,95,85
100,91,80
100,90,82
102,94,85
101,93,84
104,92,84
97,91,85
95,91,84
100,93,87
103,94,88
105,93,88
100,91,81
102,95,87
102,96,87
98,88,77
102,90,83
106,93,85
97,91,85
103,89,79
101,93,80
100,91,82
96,88,79
111,91,75
100,89,77
108,90,79
98,88,72
101,93,84
100,94,88
105,94,85
102,94,85
103,93,78
99,93,84
113,94,82
121,107,98
112,103,85
115,95,83
96,91,82
106,98,87
104,94,85
98,92,84
105,96,85
105,94,85
98,90,80
102,93,84
100,93,85
106,94,86
100,94,80
103,93,84
96,91,80
100,91,79
106,95,85
104,95,88
103,94,80
112,106,99
116,105,93
107,101,89
111,103,85
117,106,93
112,95,78
101,89,71
100,87,76
99,88,75
101,93,85
106,97,89
102,93,84
97,90,85
102,91,85
95,91,83
99,90,80
101,93,83
94,86,76
94,86,76
135,125,115
118,103,88
100,93,83
108,95,85
109,97,74
102,93,85
104,94,85
99,95,88
104,96,89
97,92,82
96,89,82
99,91,74
103,94,86
98,92,85
107,94,79
108,97,85
100,93,83
108,96,86
101,94,82
106,92,83
98,93,88
102,92,83
99,93,83
95,90,81
97,91,80
106,99,88
106,100,88
109,99,86
107,99,81
105,99,87
113,102,93
104,97,90
118,105,87
109,99,84
119,101,81
115,99,92
107,100,94
106,95,76
119,103,88
118,111,103
110,103,90
114,106,99
106,99,89
106,98,87
105,100,88
112,102,87
112,102,87
119,98,89
109,100,90
115,106,97
116,110,104
117,111,107
113,107,90
120,115,106
115,106,96
105,98,92
108,92,77
106,94,87
110,105,99
116,107,102
118,111,103
114,107,100
119,107,99
103,98,86
108,101,93
107,99,84
120,103,88
117,103,93
105,97,90
108,96,81
108,100,87
107,99,90
104,98,85
109,99,95
112,102,90
117,110,106
114,100,87
105,96,84
100,91,80
107,95,88
106,95,88
106,93,82
96,89,78
100,92,86
106,100,91
119,108,97
117,106,84
106,97,87
110,103,93
112,104,95
102,95,87
100,92,79
103,90,76
100,93,83
101,94,86
105,95,87
101,94,86
100,89,83
112,101,87
122,108,102
107,98,88
102,97,91
112,101,88
107,96,87
105,95,87
105,98,90
106,97,88
99,94,86
102,97,93
106,94,68
106,99,89
106,99,89
106,99,89
106,99,89
106,99,89
106,99,89
109,101,89
113,103,91
113,105,96
110,100,92
109,104,94
112,102,84
112,106,98
110,100,84
103,93,78
106,95,83
105,98,86
105,94,82
102,92,82
115,95,80
113,102,84
108,97,81
108,97,85
99,89,76
103,94,87
104,96,88
110,99,90
116,105,99
111,94,81
91,84,74
101,86,70
105,93,85
100,90,76
114,101,90
124,113,103
104,97,75
95,88,77
111,100,88
107,100,94
101,94,83
100,93,81
100,93,85
100,92,75
110,95,68
111,103,97
106,100,89
101,95,85
108,93,78
110,100,88
107,95,80
98,93,85
99,92,82
101,95,90
101,93,85
96,89,82
99,89,82
94,88,81
93,88,80
97,90,82
99,90,83
102,89,82
107,94,84
111,98,87
103,98,87
102,94,81
98,89,81
105,95,80
105,94,73
106,97,81
115,100,80
112,101,82
117,95,82
104,98,88
102,95,86
104,92,73
99,90,84
97,90,80
110,96,78
112,90,75
112,95,83
106,100,89
103,90,80
99,88,78
102,91,80
105,92,85
101,90,82
103,89,79
96,88,79
97,86,77
94,85,75
88,82,73
90,82,71
89,78,68
83,77,70
93,79,67
90,77,66
85,78,65
89,80,72
85,77,65
83,78,69
90,77,69
84,78,72
83,77,70
87,77,67
95,78,67
84,77,71
83,78,71
83,78,67
85,76,67
82,77,70
81,77,68
90,76,60
99,77,65
96,78,69
90,76,67
85,73,60
82,75,69
81,76,71
82,77,68
80,75,66
79,74,58
79,73,66
79,73,64
78,72,61
79,73,66
80,73,67
79,73,65
81,73,67
94,74,64
82,71,58
82,73,65
95,75,67
80,73,66
79,74,66
82,73,68
80,73,67
78,72,67
80,73,66
80,72,60
78,72,66
80,70,63
81,72,62
77,74,61
98,76,67
87,73,60
78,73,68
80,73,66
81,74,61
80,74,66
96,77,66
95,75,58
88,70,61
78,70,63
86,78,69
87,80,73
96,81,70
97,79,66
85,78,72
87,81,74
88,79,70
83,73,59
97,80,71
88,79,68
93,79,67
87,80,73
85,77,70
87,77,70
80,75,67
81,76,70
80,75,68
80,75,66
79,75,68
78,73,67
81,74,67
82,74,65
78,74,66
79,74,67
80,74,66
100,78,60
92,70,59
76,68,60
93,74,58
72,67,61
74,70,64
75,70,66
76,70,65
73,70,66
73,70,64
72,69,63
89,70,60
70,65,57
70,66,62
72,67,63
72,67,64
74,67,60
79,66,62
72,65,60
70,66,62
81,68,62
74,68,63
72,68,63
71,67,63
72,67,62
79,67,53
72,67,60
72,66,62
70,66,63
71,66,61
75,68,64
71,69,63
99,78,64
86,71,62
74,69,65
91,73,59
87,69,61
72,67,62
77,68,64
75,69,64
92,73,64
94,77,62
89,75,62
93,73,63
91,72,64
78,71,64
78,73,67
78,73,63
78,72,66
91,75,66
95,80,63
79,71,63
91,72,62
75,69,62
72,68,64
86,72,65
92,75,56
86,75,58
87,72,63
89,72,63
85,72,65
78,73,67
79,72,59
78,73,65
91,73,62
76,70,65
77,72,63
96,78,66
91,80,65
86,75,66
89,74,65
84,74,66
79,75,69
87,72,63
81,73,63
86,73,61
81,73,64
77,73,68
79,73,63
90,78,63
87,72,62
85,73,67
82,74,66
91,77,56
90,77,66
81,74,67
94,83,74
84,77,68
83,75,67
85,74,65
79,73,61
89,77,63
93,75,65
90,82,71
94,88,83
95,86,76
97,80,65
89,81,76
100,88,78
100,82,73
92,80,74
93,83,74
95,78,66
92,78,66
85,74,67
91,77,68
96,78,67
83,79,71
102,82,73
80,74,67
85,77,70
90,75,64
83,76,68
85,74,65
86,72,66
78,70,65
81,72,61
83,72,63
81,71,60
89,72,63
84,71,64
86,70,61
79,70,60
80,73,69
77,70,58
85,71,63
72,69,57
93,74,66
83,65,60
84,66,55
89,69,61
81,72,58
87,71,58
84,69,61
70,66,59
76,69,61
77,69,64
74,69,61
95,75,61
70,66,61
73,68,62
78,71,64
76,69,58
71,66,61
71,66,61
74,67,61
71,67,63
71,66,60
71,66,62
71,67,62
79,67,55
75,68,62
72,68,61
73,67,62
70,67,60
71,66,62
72,65,60
70,65,59
71,65,60
79,66,58
70,66,61
84,66,59
69,64,57
70,66,61
87,70,59
73,66,59
67,63,57
82,71,64
85,70,59
85,75,67
83,72,60
80,68,56
85,73,64
75,70,63
71,69,63
83,70,63
73,68,64
76,72,68
76,71,66
79,71,65
87,70,64
75,67,60
81,71,63
90,71,62
77,70,63
79,72,66
76,67,61
82,71,63
78,70,61
72,67,59
77,70,63
77,69,60
75,70,63
80,71,65
84,72,61
83,70,64
78,73,68
83,72,66
76,70,62
75,68,63
79,67,62
84,70,62
72,69,65
72,68,63
73,69,65
77,70,61
74,68,61
81,70,64
73,67,61
72,66,62
95,75,63
93,76,56
69,67,58
71,67,61
75,69,62
84,68,58
70,65,60
72,67,62
74,66,58
72,66,59
73,66,61
94,74,59
85,68,58
68,64,59
71,66,62
75,67,60
77,66,59
73,65,61
85,67,59
88,72,61
70,64,58
70,64,60
72,65,59
73,65,59
72,66,61
88,70,60
71,65,51
82,64,56
92,71,60
86,67,56
74,63,58
72,66,58
70,63,57
74,63,59
67,63,58
69,64,59
85,66,56
88,74,61
84,65,56
86,69,57
80,68,60
78,67,58
86,68,61
80,65,56
89,66,61
80,65,57
76,66,55
92,77,57
91,77,64
85,69,61
75,69,62
74,68,59
70,66,60
70,66,59
76,67,59
80,70,62
92,72,58
75,68,63
88,75,60
92,72,57
78,70,60
79,69,60
86,74,61
74,68,58
81,71,60
75,68,60
84,75,67
80,69,59
84,69,58
74,68,61
74,67,62
86,75,62
89,74,62
91,75,57
80,71,62
82,68,58
86,76,62
88,81,73
88,80,74
90,75,68
76,69,60
71,66,62
70,65,61
68,62,55
75,67,57
76,74,68
79,74,67
83,75,66
84,71,63
83,72,65
87,72,60
87,68,60
74,67,62
69,65,60
82,72,67
89,72,61
93,77,62
82,66,58
78,67,60
73,65,56
76,66,58
76,67,61
73,66,62
78,66,55
84,68,58
78,70,62
79,66,59
68,65,59
79,67,58
85,71,65
92,72,56
76,70,57
75,69,60
76,66,59
70,64,57
71,67,60
67,63,58
77,66,61
68,62,56
86,64,59
70,66,55
73,67,58
72,65,59
68,63,59
73,66,59
75,65,56
71,65,55
73,66,60
76,67,55
78,66,60
78,65,59
72,64,58
71,64,59
72,66,59
74,63,55
72,63,56
70,62,56
74,66,60
70,62,56
70,64,57
74,64,59
94,69,58
79,64,54
86,64,53
72,63,56
89,69,59
73,67,55
67,63,59
66,62,58
68,63,58
66,63,59
70,63,57
75,65,57
89,70,61
66,62,55
92,71,58
84,67,56
84,65,56
67,62,56
77,68,57
77,68,57
70,64,57
69,63,57
97,71,57
93,80,60
90,75,56
86,71,64
87,69,58
86,73,62
94,82,71
107,95,79
103,97,87
103,89,75
85,75,62
88,76,63
81,75,66
93,77,65
91,78,70
100,83,72
100,91,82
105,95,81
96,83,75
86,79,75
94,81,73
93,83,76
97,84,72
96,84,76
93,85,73
94,87,78
108,89,61
109,88,75
95,82,75
95,85,77
92,83,70
93,82,76
92,80,68
91,83,72
101,92,86
93,83,70
91,85,76
92,85,75
93,86,78
98,88,75
88,80,74
94,82,75
97,86,75
97,86,76
98,83,74
105,94,79
99,87,72
111,97,79
121,110,100
121,113,97
107,98,86
102,91,79
95,86,78
106,94,81
115,93,78
119,113,106
123,115,107
115,102,89
106,93,84
101,89,71
94,88,80
89,83,78
93,85,79
109,90,79
108,98,86
98,90,73
115,100,85
113,101,86
104,94,82
103,95,84
115,103,91
102,93,83
115,98,84
108,97,84
97,89,82
99,92,82
113,96,80
112,99,81
119,98,80
120,101,75
106,97,77
119,107,100
113,104,97
109,100,84
112,102,92
108,102,94
109,98,75
108,97,85
114,106,93
115,103,94
103,91,71
102,90,77
106,91,72
110,97,87
99,87,76
103,87,76
91,86,80
119,103,79
119,104,94
119,109,86
119,104,87
103,89,78
101,92,82
99,87,77
94,85,78
99,89,80
103,92,86
109,96,85
126,110,99
122,106,93
110,98,82
119,109,99
113,98,83
110,95,85
117,107,99
113,102,92
106,97,85
109,101,91
111,103,90
106,96,81
106,96,83
112,101,83
107,101,88
117,106,90
115,106,91
120,108,94
123,112,94
130,126,120
132,128,124
133,127,114
139,132,114
147,142,135
147,138,128
141,132,124
135,125,112
134,128,119
133,121,101
129,114,98
120,112,98
112,100,84
113,103,93
112,103,91
114,99,88
109,99,93
110,101,93
106,98,88
108,99,89
106,101,94
112,104,94
116,100,89
100,93,85
106,94,87
102,96,86
101,96,89
103,95,86
103,92,85
102,95,84
103,96,85
104,96,91
100,93,85
108,95,87
106,99,86
124,108,94
126,116,99
140,131,120
140,126,102
132,118,100
135,127,116
145,136,129
140,137,134
136,129,118
127,117,100
129,119,99
126,117,99
117,107,96
116,107,100
108,102,94
112,100,85
108,102,97
111,102,93
112,100,91
107,101,92
110,100,92
108,101,95
106,99,89
107,97,92
105,99,91
108,101,92
111,105,100
113,98,89
103,95,88
103,96,88
107,96,85
102,98,95
100,96,91
106,96,89
102,96,89
104,95,87
99,91,84
106,93,82
98,92,86
96,90,83
101,92,83
105,95,86
118,104,91
113,98,82
100,91,84
97,92,86
110,100,87
116,104,87
116,105,98
103,92,80
96,91,88
102,90,79
103,89,78
99,93,81
100,89,80
99,87,78
91,87,81
99,89,81
102,87,79
103,89,78
93,87,82
102,88,78
97,88,79
96,84,74
103,85,76
113,94,77
103,95,81
104,91,82
96,88,81
96,91,81
115,99,89
100,91,79
98,88,77
100,92,84
103,92,83
96,91,79
100,91,82
100,90,81
97,89,79
105,89,79
100,91,82
98,90,82
88,83,75
91,84,78
101,88,80
103,97,89
99,91,82
97,93,82
111,99,88
111,104,97
106,98,88
112,100,88
104,94,85
101,87,69
97,88,79
95,87,78
92,86,80
91,85,80
91,86,79
90,82,76
96,87,80
101,87,82
97,83,75
92,83,76
93,83,76
94,82,75
107,90,75
116,106,88
121,112,102
106,94,83
102,95,87
99,93,85
100,93,82
102,90,82
100,92,82
102,92,82
105,95,85
102,92,81
102,90,80
102,92,78
106,92,81
105,92,71
98,90,81
102,89,73
100,86,78
102,86,79
100,88,80
112,101,91
112,100,84
112,103,91
105,94,76
108,93,82
109,94,79
96,83,76
90,83,76
93,83,77
90,83,77
96,81,73
87,80,71
87,81,75
89,80,72
87,83,78
90,84,70
89,83,76
95,86,77
95,86,78
106,85,75
90,82,73
81,76,66
89,81,77
86,82,78
92,84,79
92,81,75
108,86,74
108,90,80
88,84,79
91,84,80
88,81,74
88,84,78
87,84,80
99,88,75
101,89,77
103,91,80
90,83,73
89,82,74
91,83,75
94,82,75
93,82,74
97,85,78
94,84,75
93,81,71
89,82,76
88,82,73
119,99,78
113,100,83
101,87,76
93,84,77
94,85,79
91,85,78
90,84,76
104,90,77
102,95,82
