87, 1538484682, lead_off:False/0.915, confidence:0.737, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
101, 1538485522, lead_off:False/2.470, confidence:0.347, big_r:4,  small_r0, Polarity:0, No_R:49, hfb: 13
102, 1538485582, lead_off:False/2.510, confidence:0.500, big_r:4,  small_r0, Polarity:0, No_R:56, hfb: 7
104, 1538485702, lead_off:False/1.667, confidence:0.448, big_r:2,  small_r0, Polarity:0, No_R:87, hfb: 7
105, 1538485762, lead_off:False/1.180, confidence:0.520, big_r:2,  small_r0, Polarity:0, No_R:75, hfb: 7
106, 1538485822, lead_off:False/0.856, confidence:0.582, big_r:2,  small_r0, Polarity:0, No_R:91, hfb: 6
353, 1538500642, lead_off:False/0.894, confidence:0.000, big_r:0,  small_r0, Polarity:0, No_R:19, hfb: 0
355, 1538500762, lead_off:False/0.893, confidence:0.500, big_r:0,  small_r0, Polarity:0, No_R:56, hfb: 0
356, 1538500822, lead_off:False/0.893, confidence:0.158, big_r:0,  small_r0, Polarity:0, No_R:38, hfb: 0
439, 1538505802, lead_off:False/1.052, confidence:0.456, big_r:0,  small_r0, Polarity:0, No_R:90, hfb: 0
529, 1538511202, lead_off:False/0.895, confidence:0.680, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 1
530, 1538511262, lead_off:False/1.050, confidence:0.744, big_r:0,  small_r0, Polarity:0, No_R:90, hfb: 0
657, 1538518882, lead_off:False/1.032, confidence:0.568, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 0
758, 1538524942, lead_off:False/0.898, confidence:0.704, big_r:0,  small_r0, Polarity:0, No_R:125, hfb: 0
759, 1538525002, lead_off:False/0.897, confidence:0.661, big_r:0,  small_r0, Polarity:0, No_R:121, hfb: 0
1132, 1538547382, lead_off:False/0.910, confidence:0.741, big_r:0,  small_r0, Polarity:0, No_R:143, hfb: 0
1173, 1538549842, lead_off:False/0.908, confidence:0.600, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
1234, 1538553502, lead_off:False/0.915, confidence:0.684, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
1433, 1538565442, lead_off:False/0.915, confidence:0.672, big_r:0,  small_r0, Polarity:0, No_R:119, hfb: 0
1533, 1538571442, lead_off:False/0.910, confidence:0.619, big_r:0,  small_r0, Polarity:0, No_R:105, hfb: 0
1534, 1538571502, lead_off:False/2.928, confidence:0.573, big_r:0,  small_r0, Polarity:0, No_R:75, hfb: 4
1535, 1538571562, lead_off:False/1.908, confidence:0.172, big_r:3,  small_r0, Polarity:0, No_R:58, hfb: 8
1536, 1538571622, lead_off:False/1.349, confidence:0.534, big_r:4,  small_r0, Polarity:0, No_R:88, hfb: 6
1537, 1538571682, lead_off:False/1.191, confidence:0.609, big_r:2,  small_r0, Polarity:0, No_R:92, hfb: 6
1714, 1538582302, lead_off:False/1.059, confidence:0.460, big_r:0,  small_r0, Polarity:0, No_R:87, hfb: 0
1715, 1538582362, lead_off:False/0.907, confidence:0.748, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 0
1749, 1538584402, lead_off:False/0.903, confidence:0.739, big_r:0,  small_r0, Polarity:0, No_R:88, hfb: 0
1984, 1538598502, lead_off:False/1.403, confidence:0.548, big_r:0,  small_r0, Polarity:0, No_R:62, hfb: 0
1985, 1538598562, lead_off:False/0.999, confidence:0.545, big_r:0,  small_r0, Polarity:0, No_R:55, hfb: 0
1986, 1538598622, lead_off:False/1.000, confidence:0.538, big_r:0,  small_r0, Polarity:0, No_R:52, hfb: 0
1987, 1538598682, lead_off:False/1.001, confidence:0.489, big_r:0,  small_r0, Polarity:0, No_R:47, hfb: 0
1988, 1538598742, lead_off:False/1.002, confidence:0.451, big_r:0,  small_r0, Polarity:0, No_R:51, hfb: 0
1989, 1538598802, lead_off:False/1.005, confidence:0.431, big_r:0,  small_r0, Polarity:0, No_R:51, hfb: 0
1990, 1538598862, lead_off:False/1.009, confidence:0.667, big_r:0,  small_r0, Polarity:0, No_R:57, hfb: 0
1991, 1538598922, lead_off:False/1.011, confidence:0.574, big_r:0,  small_r0, Polarity:0, No_R:54, hfb: 0
1992, 1538598982, lead_off:False/1.012, confidence:0.650, big_r:0,  small_r0, Polarity:0, No_R:60, hfb: 0
1993, 1538599042, lead_off:False/1.012, confidence:0.540, big_r:0,  small_r0, Polarity:0, No_R:50, hfb: 0
1994, 1538599102, lead_off:False/1.013, confidence:0.528, big_r:0,  small_r0, Polarity:0, No_R:53, hfb: 0
1995, 1538599162, lead_off:False/1.014, confidence:0.471, big_r:0,  small_r0, Polarity:0, No_R:51, hfb: 0
1996, 1538599222, lead_off:False/1.014, confidence:0.458, big_r:0,  small_r0, Polarity:0, No_R:48, hfb: 0
1997, 1538599282, lead_off:False/1.014, confidence:0.603, big_r:0,  small_r0, Polarity:0, No_R:58, hfb: 0
1998, 1538599342, lead_off:False/1.015, confidence:0.567, big_r:0,  small_r0, Polarity:0, No_R:60, hfb: 0
1999, 1538599402, lead_off:False/1.016, confidence:0.392, big_r:0,  small_r0, Polarity:0, No_R:51, hfb: 0
2000, 1538599462, lead_off:False/1.016, confidence:0.277, big_r:0,  small_r0, Polarity:0, No_R:47, hfb: 0
2001, 1538599522, lead_off:False/1.017, confidence:0.396, big_r:0,  small_r0, Polarity:0, No_R:53, hfb: 0
2002, 1538599582, lead_off:False/1.017, confidence:0.448, big_r:0,  small_r0, Polarity:0, No_R:58, hfb: 0
2003, 1538599642, lead_off:False/1.018, confidence:0.423, big_r:0,  small_r0, Polarity:0, No_R:52, hfb: 0
2004, 1538599702, lead_off:False/1.019, confidence:0.621, big_r:0,  small_r0, Polarity:0, No_R:66, hfb: 0
2005, 1538599762, lead_off:False/1.020, confidence:0.500, big_r:0,  small_r0, Polarity:0, No_R:60, hfb: 0
2006, 1538599822, lead_off:False/1.020, confidence:0.418, big_r:0,  small_r0, Polarity:0, No_R:55, hfb: 0
2007, 1538599882, lead_off:False/1.020, confidence:0.687, big_r:0,  small_r0, Polarity:0, No_R:67, hfb: 0
2008, 1538599942, lead_off:False/1.021, confidence:0.594, big_r:0,  small_r0, Polarity:0, No_R:64, hfb: 0
2009, 1538600002, lead_off:False/1.021, confidence:0.536, big_r:0,  small_r0, Polarity:0, No_R:56, hfb: 0
2010, 1538600062, lead_off:False/1.021, confidence:0.404, big_r:0,  small_r0, Polarity:0, No_R:52, hfb: 0
2011, 1538600122, lead_off:False/1.022, confidence:0.412, big_r:0,  small_r0, Polarity:0, No_R:51, hfb: 0
2012, 1538600182, lead_off:False/1.022, confidence:0.554, big_r:0,  small_r0, Polarity:0, No_R:56, hfb: 0
2013, 1538600242, lead_off:False/1.023, confidence:0.426, big_r:0,  small_r0, Polarity:0, No_R:54, hfb: 0
2014, 1538600302, lead_off:False/1.024, confidence:0.348, big_r:0,  small_r0, Polarity:0, No_R:46, hfb: 0
2015, 1538600362, lead_off:False/1.026, confidence:0.404, big_r:0,  small_r0, Polarity:0, No_R:52, hfb: 0
2016, 1538600422, lead_off:False/1.028, confidence:0.340, big_r:0,  small_r0, Polarity:0, No_R:53, hfb: 0
2017, 1538600482, lead_off:False/1.031, confidence:0.411, big_r:0,  small_r0, Polarity:0, No_R:56, hfb: 0
2018, 1538600542, lead_off:False/1.033, confidence:0.569, big_r:0,  small_r0, Polarity:0, No_R:58, hfb: 0
2019, 1538600602, lead_off:False/1.035, confidence:0.491, big_r:0,  small_r0, Polarity:0, No_R:53, hfb: 0
2020, 1538600662, lead_off:False/1.032, confidence:0.439, big_r:0,  small_r0, Polarity:0, No_R:57, hfb: 0
2104, 1538605702, lead_off:False/0.959, confidence:0.551, big_r:0,  small_r0, Polarity:0, No_R:98, hfb: 0
2105, 1538605762, lead_off:False/0.998, confidence:0.746, big_r:0,  small_r0, Polarity:0, No_R:122, hfb: 0
2106, 1538605822, lead_off:False/0.991, confidence:0.722, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
2184, 1538610502, lead_off:False/0.998, confidence:0.613, big_r:0,  small_r0, Polarity:0, No_R:106, hfb: 0
2188, 1538610742, lead_off:False/0.992, confidence:0.629, big_r:0,  small_r0, Polarity:0, No_R:116, hfb: 0
2198, 1538611342, lead_off:False/1.146, confidence:0.685, big_r:4,  small_r0, Polarity:0, No_R:108, hfb: 5
2199, 1538611402, lead_off:False/1.116, confidence:0.417, big_r:2,  small_r0, Polarity:0, No_R:96, hfb: 10
2200, 1538611462, lead_off:False/1.216, confidence:0.456, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 4
2201, 1538611522, lead_off:False/1.109, confidence:0.321, big_r:0,  small_r0, Polarity:0, No_R:112, hfb: 0
2202, 1538611582, lead_off:False/1.077, confidence:0.575, big_r:0,  small_r0, Polarity:0, No_R:106, hfb: 0
2203, 1538611642, lead_off:False/1.382, confidence:0.561, big_r:0,  small_r0, Polarity:0, No_R:107, hfb: 3
2204, 1538611702, lead_off:False/1.207, confidence:0.513, big_r:0,  small_r0, Polarity:0, No_R:113, hfb: 2
2205, 1538611762, lead_off:False/1.226, confidence:0.308, big_r:1,  small_r0, Polarity:0, No_R:104, hfb: 2
2206, 1538611822, lead_off:False/1.190, confidence:0.337, big_r:0,  small_r0, Polarity:0, No_R:89, hfb: 1
2207, 1538611882, lead_off:False/1.079, confidence:0.703, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 0
2220, 1538612662, lead_off:False/1.024, confidence:0.505, big_r:0,  small_r0, Polarity:0, No_R:107, hfb: 0
2221, 1538612722, lead_off:False/1.024, confidence:0.667, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 0
2225, 1538612962, lead_off:False/1.053, confidence:0.632, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
2226, 1538613022, lead_off:False/1.079, confidence:0.496, big_r:0,  small_r0, Polarity:0, No_R:115, hfb: 0
2227, 1538613082, lead_off:False/1.146, confidence:0.415, big_r:2,  small_r0, Polarity:0, No_R:82, hfb: 5
2228, 1538613142, lead_off:False/1.982, confidence:0.215, big_r:4,  small_r0, Polarity:0, No_R:65, hfb: 13
2232, 1538613382, lead_off:False/1.488, confidence:0.688, big_r:0,  small_r0, Polarity:0, No_R:109, hfb: 1
2233, 1538613442, lead_off:False/1.231, confidence:0.479, big_r:0,  small_r0, Polarity:0, No_R:94, hfb: 1
2234, 1538613502, lead_off:False/1.139, confidence:0.735, big_r:0,  small_r0, Polarity:0, No_R:117, hfb: 1
2236, 1538613622, lead_off:False/1.398, confidence:0.612, big_r:2,  small_r0, Polarity:0, No_R:98, hfb: 3
2237, 1538613682, lead_off:False/2.492, confidence:0.154, big_r:1,  small_r0, Polarity:0, No_R:78, hfb: 5
2238, 1538613742, lead_off:False/2.292, confidence:0.211, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 1
2239, 1538613802, lead_off:False/1.591, confidence:0.181, big_r:0,  small_r0, Polarity:0, No_R:83, hfb: 1
2240, 1538613862, lead_off:False/1.661, confidence:0.494, big_r:0,  small_r0, Polarity:0, No_R:81, hfb: 2
2241, 1538613922, lead_off:False/2.133, confidence:0.143, big_r:7,  small_r0, Polarity:0, No_R:63, hfb: 24
2242, 1538613982, lead_off:False/1.558, confidence:0.341, big_r:1,  small_r0, Polarity:0, No_R:85, hfb: 4
2276, 1538616022, lead_off:False/1.840, confidence:0.667, big_r:0,  small_r0, Polarity:0, No_R:114, hfb: 0
2307, 1538617882, lead_off:False/1.158, confidence:0.660, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 1
2308, 1538617942, lead_off:False/1.177, confidence:0.706, big_r:0,  small_r0, Polarity:0, No_R:102, hfb: 2
2340, 1538619862, lead_off:False/1.542, confidence:0.620, big_r:0,  small_r0, Polarity:0, No_R:108, hfb: 2
2342, 1538619982, lead_off:False/1.388, confidence:0.557, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 0
2343, 1538620042, lead_off:False/1.493, confidence:0.532, big_r:0,  small_r0, Polarity:0, No_R:94, hfb: 0
2344, 1538620102, lead_off:False/2.081, confidence:0.550, big_r:1,  small_r0, Polarity:0, No_R:80, hfb: 8
2347, 1538620282, lead_off:False/1.989, confidence:0.536, big_r:2,  small_r0, Polarity:0, No_R:84, hfb: 5
2348, 1538620342, lead_off:False/2.241, confidence:0.505, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 2
2349, 1538620402, lead_off:False/2.314, confidence:0.573, big_r:0,  small_r0, Polarity:0, No_R:89, hfb: 2
2429, 1538625202, lead_off:False/1.169, confidence:0.660, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
2430, 1538625262, lead_off:False/1.167, confidence:0.520, big_r:0,  small_r0, Polarity:0, No_R:98, hfb: 0
2431, 1538625322, lead_off:False/1.294, confidence:0.557, big_r:2,  small_r0, Polarity:0, No_R:97, hfb: 5
2432, 1538625382, lead_off:False/1.629, confidence:0.446, big_r:4,  small_r0, Polarity:0, No_R:56, hfb: 8
2433, 1538625442, lead_off:False/1.256, confidence:0.374, big_r:1,  small_r0, Polarity:0, No_R:91, hfb: 3
2434, 1538625502, lead_off:False/1.246, confidence:0.370, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 4
2438, 1538625742, lead_off:False/1.232, confidence:0.587, big_r:0,  small_r0, Polarity:0, No_R:104, hfb: 3
2439, 1538625802, lead_off:False/1.244, confidence:0.504, big_r:0,  small_r0, Polarity:0, No_R:113, hfb: 0
2440, 1538625862, lead_off:False/1.253, confidence:0.387, big_r:0,  small_r0, Polarity:0, No_R:106, hfb: 4
2447, 1538626282, lead_off:False/1.496, confidence:0.663, big_r:0,  small_r0, Polarity:0, No_R:92, hfb: 0
2493, 1538629042, lead_off:False/1.524, confidence:0.418, big_r:0,  small_r0, Polarity:0, No_R:110, hfb: 2
2494, 1538629102, lead_off:False/1.743, confidence:0.341, big_r:0,  small_r0, Polarity:0, No_R:88, hfb: 2
2495, 1538629162, lead_off:False/1.239, confidence:0.306, big_r:0,  small_r0, Polarity:0, No_R:85, hfb: 0
2496, 1538629222, lead_off:False/2.847, confidence:0.237, big_r:1,  small_r0, Polarity:0, No_R:76, hfb: 3
2497, 1538629282, lead_off:False/3.906, confidence:0.271, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 3
2498, 1538629342, lead_off:False/1.326, confidence:0.515, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 2
2499, 1538629402, lead_off:False/3.660, confidence:0.447, big_r:1,  small_r0, Polarity:0, No_R:85, hfb: 8
2502, 1538629582, lead_off:False/4.122, confidence:0.443, big_r:1,  small_r0, Polarity:0, No_R:88, hfb: 10
2503, 1538629642, lead_off:False/5.352, confidence:0.281, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 2
2504, 1538629702, lead_off:False/2.900, confidence:0.348, big_r:0,  small_r0, Polarity:0, No_R:92, hfb: 4
2506, 1538629822, lead_off:False/2.454, confidence:0.396, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 4
2508, 1538629942, lead_off:False/1.816, confidence:0.612, big_r:0,  small_r0, Polarity:0, No_R:103, hfb: 6
2510, 1538630062, lead_off:False/1.231, confidence:0.657, big_r:0,  small_r0, Polarity:0, No_R:102, hfb: 1
2511, 1538630122, lead_off:False/1.337, confidence:0.630, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 1
2512, 1538630182, lead_off:False/1.326, confidence:0.725, big_r:0,  small_r0, Polarity:0, No_R:109, hfb: 2
2513, 1538630242, lead_off:False/1.520, confidence:0.551, big_r:0,  small_r0, Polarity:0, No_R:98, hfb: 2
2528, 1538631142, lead_off:False/1.264, confidence:0.703, big_r:0,  small_r0, Polarity:0, No_R:101, hfb: 3
2529, 1538631202, lead_off:False/1.496, confidence:0.417, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 1
2530, 1538631262, lead_off:False/1.585, confidence:0.337, big_r:0,  small_r0, Polarity:0, No_R:95, hfb: 4
2531, 1538631322, lead_off:False/1.344, confidence:0.333, big_r:1,  small_r0, Polarity:0, No_R:99, hfb: 3
2532, 1538631382, lead_off:False/3.907, confidence:0.317, big_r:4,  small_r0, Polarity:0, No_R:60, hfb: 11
2533, 1538631442, lead_off:False/4.938, confidence:0.098, big_r:6,  small_r0, Polarity:0, No_R:51, hfb: 14
2534, 1538631502, lead_off:False/1.760, confidence:0.205, big_r:3,  small_r0, Polarity:0, No_R:73, hfb: 10
2535, 1538631562, lead_off:False/1.240, confidence:0.095, big_r:2,  small_r0, Polarity:0, No_R:63, hfb: 11
2536, 1538631622, lead_off:False/1.210, confidence:0.396, big_r:2,  small_r0, Polarity:0, No_R:96, hfb: 6
2537, 1538631682, lead_off:False/1.227, confidence:0.370, big_r:0,  small_r0, Polarity:0, No_R:92, hfb: 0
2538, 1538631742, lead_off:False/1.222, confidence:0.309, big_r:0,  small_r0, Polarity:0, No_R:97, hfb: 2
2540, 1538631862, lead_off:False/1.212, confidence:0.567, big_r:0,  small_r0, Polarity:0, No_R:90, hfb: 0
2541, 1538631922, lead_off:False/1.210, confidence:0.192, big_r:0,  small_r0, Polarity:0, No_R:73, hfb: 0
2542, 1538631982, lead_off:False/1.206, confidence:0.542, big_r:0,  small_r0, Polarity:0, No_R:96, hfb: 0
2543, 1538632042, lead_off:False/1.205, confidence:0.101, big_r:0,  small_r0, Polarity:0, No_R:89, hfb: 3
2544, 1538632102, lead_off:False/1.204, confidence:0.156, big_r:0,  small_r0, Polarity:0, No_R:77, hfb: 7
2545, 1538632162, lead_off:False/1.200, confidence:0.324, big_r:0,  small_r0, Polarity:0, No_R:74, hfb: 1
2546, 1538632222, lead_off:False/1.197, confidence:0.550, big_r:0,  small_r0, Polarity:0, No_R:100, hfb: 0
2547, 1538632282, lead_off:False/1.195, confidence:0.078, big_r:1,  small_r0, Polarity:0, No_R:64, hfb: 3
2548, 1538632342, lead_off:False/1.191, confidence:0.219, big_r:1,  small_r0, Polarity:0, No_R:96, hfb: 1
2549, 1538632402, lead_off:False/1.190, confidence:0.165, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 2
2550, 1538632462, lead_off:False/1.188, confidence:0.151, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 1
2551, 1538632522, lead_off:False/1.190, confidence:0.119, big_r:1,  small_r0, Polarity:0, No_R:84, hfb: 2
2552, 1538632582, lead_off:False/1.186, confidence:0.165, big_r:1,  small_r0, Polarity:0, No_R:79, hfb: 1
2553, 1538632642, lead_off:False/1.182, confidence:0.117, big_r:0,  small_r0, Polarity:0, No_R:94, hfb: 0
2554, 1538632702, lead_off:False/1.181, confidence:0.190, big_r:0,  small_r0, Polarity:0, No_R:84, hfb: 0
2555, 1538632762, lead_off:False/1.180, confidence:0.290, big_r:0,  small_r0, Polarity:0, No_R:93, hfb: 1
2556, 1538632822, lead_off:False/1.177, confidence:0.378, big_r:0,  small_r0, Polarity:0, No_R:90, hfb: 0
2557, 1538632882, lead_off:False/1.174, confidence:0.284, big_r:0,  small_r0, Polarity:0, No_R:88, hfb: 0
2558, 1538632942, lead_off:False/1.172, confidence:0.308, big_r:0,  small_r0, Polarity:0, No_R:91, hfb: 0
