mins 2517 , noise_error =1.0
mins 2518 , noise_error =1.0
mins 2519 , noise_error =1.0
mins 2520 , noise_error =1.0
mins 2521 , noise_error =1.0
mins 2522 , noise_error =0.9285714285714286
mins 2523 , noise_error =1.0
mins 2524 , noise_error =1.0
mins 2525 , noise_error =1.0
mins 2526 , noise_error =1.0
mins 2527 , noise_error =1.0
mins 2528 , noise_error =1.0
mins 2529 , noise_error =1.0
mins 2530 , noise_error =1.0
mins 2531 , noise_error =0.9863013698630136
mins 2532 , noise_error =1.0
mins 2533 , noise_error =0.9866666666666667
mins 2534 , noise_error =1.0
mins 2535 , noise_error =1.0
mins 2536 , noise_error =1.0
mins 2537 , noise_error =0.6796116504854368
mins 2538 , noise_error =0.5263157894736843
mins 2539 , noise_error =0.8148148148148149
