mins 540 , noise_error =1.0
mins 541 , noise_error =1.0
mins 542 , noise_error =1.0
mins 543 , noise_error =1.0
mins 544 , noise_error =1.0
mins 545 , noise_error =1.0
mins 546 , noise_error =1.0
mins 547 , noise_error =1.0
mins 548 , noise_error =1.0
mins 549 , noise_error =1.0
mins 550 , noise_error =1.0
mins 551 , noise_error =1.0
mins 552 , noise_error =1.0
mins 553 , noise_error =1.0
mins 554 , noise_error =1.0
mins 555 , noise_error =1.0
mins 556 , noise_error =1.0
mins 557 , noise_error =1.0
mins 558 , noise_error =1.0
mins 559 , noise_error =1.0
mins 560 , noise_error =1.0
mins 561 , noise_error =1.0
mins 562 , noise_error =0.9012345679012346
mins 563 , noise_error =1.0
mins 564 , noise_error =1.0
mins 565 , noise_error =1.0
mins 566 , noise_error =0.9850746268656716
mins 567 , noise_error =1.0
mins 568 , noise_error =1.0
mins 569 , noise_error =1.0
mins 570 , noise_error =1.0
mins 571 , noise_error =1.0
mins 572 , noise_error =1.0
mins 573 , noise_error =0.9130434782608696
mins 574 , noise_error =0.7922077922077921
mins 575 , noise_error =1.0
mins 576 , noise_error =1.0
mins 577 , noise_error =1.0
mins 578 , noise_error =1.0
mins 579 , noise_error =1.0
mins 580 , noise_error =1.0
mins 581 , noise_error =1.0
mins 582 , noise_error =1.0
mins 583 , noise_error =1.0
mins 584 , noise_error =1.0
mins 585 , noise_error =1.0
mins 586 , noise_error =1.0
mins 587 , noise_error =1.0
mins 588 , noise_error =0.9393939393939394
mins 589 , noise_error =1.0
mins 590 , noise_error =1.0
mins 591 , noise_error =1.0
mins 592 , noise_error =1.0
mins 593 , noise_error =1.0
mins 594 , noise_error =1.0
mins 595 , noise_error =1.0
mins 596 , noise_error =1.0
mins 597 , noise_error =0.9833333333333333
mins 598 , noise_error =1.0
mins 599 , noise_error =1.0
mins 600 , noise_error =1.0
mins 601 , noise_error =1.0
mins 602 , noise_error =1.0
mins 603 , noise_error =1.0
mins 604 , noise_error =1.0
mins 605 , noise_error =1.0
mins 606 , noise_error =0.9833333333333333
mins 607 , noise_error =1.0
mins 608 , noise_error =1.0
mins 609 , noise_error =1.0
mins 610 , noise_error =1.0
mins 611 , noise_error =1.0
mins 612 , noise_error =1.0
mins 613 , noise_error =1.0
mins 614 , noise_error =0.9830508474576272
mins 615 , noise_error =1.0
mins 616 , noise_error =1.0
mins 617 , noise_error =1.0
mins 618 , noise_error =1.0
mins 619 , noise_error =1.0
mins 620 , noise_error =1.0
mins 621 , noise_error =1.0
mins 622 , noise_error =1.0
mins 623 , noise_error =1.0
mins 624 , noise_error =1.0
mins 625 , noise_error =1.0
mins 626 , noise_error =1.0
mins 627 , noise_error =1.0
mins 628 , noise_error =0.8202247191011236
mins 629 , noise_error =0.8210526315789474
mins 630 , noise_error =0.4731182795698925
mins 631 , noise_error =0.85
mins 632 , noise_error =0.9285714285714286
mins 633 , noise_error =0.9285714285714286
mins 634 , noise_error =1.0
mins 635 , noise_error =1.0
mins 636 , noise_error =1.0
mins 637 , noise_error =1.0
mins 638 , noise_error =1.0
mins 639 , noise_error =0.8472222222222222
mins 640 , noise_error =1.0
mins 641 , noise_error =1.0
mins 642 , noise_error =0.9833333333333333
mins 643 , noise_error =1.0
mins 644 , noise_error =1.0
mins 645 , noise_error =1.0
mins 646 , noise_error =1.0
mins 647 , noise_error =1.0
mins 648 , noise_error =1.0
mins 649 , noise_error =1.0
mins 650 , noise_error =1.0
mins 651 , noise_error =1.0
mins 652 , noise_error =1.0
mins 653 , noise_error =1.0
mins 654 , noise_error =1.0
mins 655 , noise_error =1.0
mins 656 , noise_error =1.0
mins 657 , noise_error =1.0
mins 658 , noise_error =1.0
mins 659 , noise_error =1.0
mins 660 , noise_error =1.0
mins 661 , noise_error =0.8461538461538461
mins 662 , noise_error =0.8787878787878788
mins 663 , noise_error =0.9833333333333333
mins 664 , noise_error =1.0
mins 665 , noise_error =1.0
mins 666 , noise_error =1.0
mins 667 , noise_error =1.0
mins 668 , noise_error =1.0
mins 669 , noise_error =1.0
mins 670 , noise_error =1.0
mins 671 , noise_error =1.0
mins 672 , noise_error =1.0
