mins 1910 , noise_error =1.0
mins 1911 , noise_error =1.0
mins 1912 , noise_error =1.0
mins 1913 , noise_error =0.9913793103448276
mins 1914 , noise_error =1.0
mins 1915 , noise_error =1.0
mins 1916 , noise_error =1.0
mins 1917 , noise_error =0.9829059829059829
mins 1918 , noise_error =0.9473684210526316
mins 1919 , noise_error =1.0
mins 1920 , noise_error =0.9823008849557522
mins 1921 , noise_error =1.0
mins 1922 , noise_error =1.0
mins 1923 , noise_error =1.0
mins 1924 , noise_error =1.0
mins 1925 , noise_error =1.0
mins 1926 , noise_error =0.9559748427672956
mins 1927 , noise_error =0.9337349397590361
mins 1928 , noise_error =0.9597315436241611
mins 1929 , noise_error =1.0
mins 1930 , noise_error =0.9854014598540146
mins 1931 , noise_error =1.0
mins 1932 , noise_error =1.0
mins 1933 , noise_error =1.0
mins 1934 , noise_error =1.0
mins 1935 , noise_error =0.9379310344827586
mins 1936 , noise_error =0.9166666666666666
mins 1937 , noise_error =0.972972972972973
mins 1938 , noise_error =1.0
mins 1939 , noise_error =0.972027972027972
mins 1940 , noise_error =0.9712230215827338
mins 1941 , noise_error =0.993103448275862
mins 1942 , noise_error =0.9703703703703703
mins 1943 , noise_error =1.0
mins 1944 , noise_error =1.0
mins 1945 , noise_error =0.9774436090225564
mins 1946 , noise_error =0.9927536231884058
mins 1947 , noise_error =0.9767441860465116
mins 1948 , noise_error =0.797752808988764
mins 1949 , noise_error =0.0
mins 1950 , noise_error =0.0
mins 1951 , noise_error =0.03448275862068961
mins 1952 , noise_error =0.43999999999999995
mins 1953 , noise_error =0.967391304347826
mins 1954 , noise_error =1.0
mins 1955 , noise_error =0.9913793103448276
mins 1956 , noise_error =0.9914529914529915
mins 1957 , noise_error =1.0
mins 1958 , noise_error =0.9833333333333333
mins 1959 , noise_error =0.8991596638655462
mins 1960 , noise_error =1.0
mins 1961 , noise_error =1.0
mins 1962 , noise_error =0.9919354838709677
mins 1963 , noise_error =0.9754098360655737
mins 1964 , noise_error =1.0
mins 1965 , noise_error =1.0
mins 1966 , noise_error =0.9807692307692307
mins 1967 , noise_error =0.9636363636363636
mins 1968 , noise_error =0.9833333333333333
mins 1969 , noise_error =1.0
mins 1970 , noise_error =0.9741379310344828
mins 1971 , noise_error =0.9405940594059405
mins 1972 , noise_error =0.9801980198019802
mins 1973 , noise_error =0.97
mins 1974 , noise_error =0.9719626168224299
mins 1975 , noise_error =1.0
mins 1976 , noise_error =1.0
mins 1977 , noise_error =1.0
mins 1978 , noise_error =1.0
mins 1979 , noise_error =1.0
mins 1980 , noise_error =0.9711538461538461
mins 1981 , noise_error =1.0
mins 1982 , noise_error =1.0
mins 1983 , noise_error =1.0
mins 1984 , noise_error =0.9809523809523809
mins 1985 , noise_error =0.9911504424778761
mins 1986 , noise_error =0.981651376146789
mins 1987 , noise_error =0.8969072164948454
mins 1988 , noise_error =0.9245283018867925
mins 1989 , noise_error =0.9537037037037037
mins 1990 , noise_error =1.0
mins 1991 , noise_error =0.9183673469387755
mins 1992 , noise_error =0.8317757009345794
mins 1993 , noise_error =0.8380952380952381
mins 1994 , noise_error =0.88
mins 1995 , noise_error =0.9541284403669725
mins 1996 , noise_error =0.9918032786885246
mins 1997 , noise_error =1.0
mins 1998 , noise_error =1.0
mins 1999 , noise_error =0.9661016949152542
mins 2000 , noise_error =0.8983050847457628
mins 2001 , noise_error =0.8
mins 2002 , noise_error =0.9829059829059829
mins 2003 , noise_error =0.8256880733944953
mins 2004 , noise_error =0.8916666666666666
mins 2005 , noise_error =0.963302752293578
mins 2006 , noise_error =1.0
mins 2007 , noise_error =0.9904761904761905
mins 2008 , noise_error =1.0
mins 2009 , noise_error =1.0
mins 2010 , noise_error =0.963302752293578
mins 2011 , noise_error =1.0
mins 2012 , noise_error =1.0
mins 2013 , noise_error =1.0
mins 2014 , noise_error =0.9896907216494846
mins 2015 , noise_error =0.9433962264150944
mins 2016 , noise_error =0.941747572815534
mins 2017 , noise_error =1.0
mins 2018 , noise_error =0.9900990099009901
mins 2019 , noise_error =0.898876404494382
mins 2020 , noise_error =0.904
mins 2021 , noise_error =0.927007299270073
mins 2022 , noise_error =0.9389312977099237
mins 2023 , noise_error =0.9846153846153847
mins 2024 , noise_error =0.9655172413793104
mins 2025 , noise_error =0.963302752293578
mins 2026 , noise_error =0.9519230769230769
mins 2027 , noise_error =1.0
mins 2028 , noise_error =0.98
mins 2029 , noise_error =0.9716981132075472
mins 2030 , noise_error =0.9903846153846154
mins 2031 , noise_error =0.98
mins 2032 , noise_error =0.9693877551020408
mins 2033 , noise_error =0.98
mins 2034 , noise_error =1.0
mins 2035 , noise_error =0.9142857142857143
mins 2036 , noise_error =0.7758620689655172
mins 2037 , noise_error =0.8189655172413793
mins 2038 , noise_error =0.7583333333333333
mins 2039 , noise_error =0.7933884297520661
mins 2040 , noise_error =0.7363636363636363
mins 2041 , noise_error =0.8425196850393701
mins 2042 , noise_error =0.8828125
mins 2043 , noise_error =0.8495575221238938
mins 2044 , noise_error =0.6814159292035398
mins 2045 , noise_error =0.6574074074074074
mins 2046 , noise_error =0.6528925619834711
mins 2047 , noise_error =0.7830188679245282
mins 2048 , noise_error =0.908256880733945
mins 2049 , noise_error =0.8770491803278688
mins 2050 , noise_error =0.8787878787878788
mins 2051 , noise_error =1.0
mins 2052 , noise_error =0.9509803921568627
mins 2053 , noise_error =1.0
mins 2054 , noise_error =0.9803921568627451
mins 2055 , noise_error =1.0
mins 2056 , noise_error =0.9719626168224299
mins 2057 , noise_error =1.0
mins 2058 , noise_error =1.0
mins 2059 , noise_error =0.9180327868852459
mins 2060 , noise_error =0.648
mins 2061 , noise_error =0.6935483870967742
mins 2062 , noise_error =0.6779661016949152
mins 2063 , noise_error =0.6666666666666667
mins 2064 , noise_error =0.7377049180327868
mins 2065 , noise_error =0.7024793388429752
mins 2066 , noise_error =0.719626168224299
mins 2067 , noise_error =0.5641025641025641
mins 2068 , noise_error =0.6371681415929203
mins 2069 , noise_error =0.7565217391304347
mins 2070 , noise_error =0.7297297297297297
mins 2071 , noise_error =0.9745762711864406
mins 2072 , noise_error =0.9256198347107438
mins 2073 , noise_error =0.975
mins 2074 , noise_error =0.9830508474576272
mins 2075 , noise_error =1.0
mins 2076 , noise_error =0.9915966386554622
mins 2077 , noise_error =0.990990990990991
mins 2078 , noise_error =0.9158878504672897
mins 2079 , noise_error =0.9831932773109243
mins 2080 , noise_error =0.9830508474576272
mins 2081 , noise_error =0.991304347826087
mins 2082 , noise_error =1.0
mins 2083 , noise_error =0.8421052631578947
mins 2084 , noise_error =0.9215686274509804
mins 2085 , noise_error =0.84
mins 2086 , noise_error =0.5945945945945945
mins 2087 , noise_error =0.9478260869565217
mins 2088 , noise_error =0.8547008547008547
mins 2089 , noise_error =0.88
mins 2090 , noise_error =0.9836065573770492
mins 2091 , noise_error =0.9243697478991597
mins 2092 , noise_error =1.0
mins 2093 , noise_error =1.0
mins 2094 , noise_error =1.0
mins 2095 , noise_error =1.0
mins 2096 , noise_error =1.0
mins 2097 , noise_error =1.0
mins 2098 , noise_error =0.9908256880733946
mins 2099 , noise_error =0.9553571428571429
