95,84,75
90,85,81
87,79,73
84,79,73
90,80,75
85,78,72
84,81,76
92,80,71
83,77,70
99,83,73
100,88,79
90,78,71
87,79,74
81,76,71
86,77,72
82,76,71
97,80,73
87,79,72
84,78,70
101,85,79
88,81,72
90,82,77
85,81,76
84,79,72
91,81,76
95,81,74
88,81,75
88,81,74
93,84,79
89,83,78
86,82,76
90,80,75
82,79,75
88,79,72
85,78,72
84,76,72
87,78,72
85,80,75
89,79,68
88,78,71
82,75,71
81,77,73
87,77,71
90,80,71
88,82,76
88,81,77
83,79,75
87,79,73
82,76,70
85,76,70
82,76,70
80,77,72
80,77,72
83,76,72
85,76,71
80,75,67
87,77,70
107,78,57
83,77,72
86,78,73
82,76,71
86,77,73
93,77,69
75,72,59
80,74,68
80,76,69
84,77,72
85,76,68
82,76,71
88,78,68
86,78,73
81,75,68
83,76,68
83,78,71
101,78,63
80,73,68
81,75,72
87,78,71
99,84,68
96,89,81
91,83,77
100,79,65
79,74,66
105,88,79
105,88,79
90,81,71
84,78,73
92,83,74
96,82,76
85,81,77
90,80,70
98,86,76
97,83,74
112,90,76
111,94,91
94,84,73
89,83,75
97,84,72
101,93,82
103,91,83
96,87,81
90,82,74
83,79,71
87,79,68
88,79,71
96,82,74
85,75,68
80,73,67
82,75,66
84,73,65
80,72,68
85,73,65
81,71,63
82,75,65
86,78,71
87,79,65
99,85,73
99,85,73
112,100,86
108,95,79
97,90,81
93,84,71
84,77,71
84,77,69
86,77,70
93,78,72
79,75,69
80,76,71
89,80,74
88,78,70
86,77,67
85,75,67
83,76,71
86,76,69
84,74,67
82,76,70
93,80,72
85,77,67
82,76,70
102,84,74
101,86,73
87,74,66
87,75,61
86,77,68
91,77,68
85,83,71
93,81,70
92,83,71
99,89,80
91,80,66
95,83,73
84,76,66
108,81,64
92,76,66
93,76,64
104,79,62
98,86,68
99,90,83
99,90,83
99,90,83
125,118,110
125,118,110
125,118,110
125,118,110
114,104,94
114,104,94
106,96,82
91,85,77
98,89,76
101,90,77
98,89,83
98,89,83
103,94,82
102,91,85
102,91,85
102,91,85
102,91,85
111,98,83
108,95,84
108,95,84
106,96,84
101,91,81
103,98,84
101,92,80
101,93,88
101,91,77
106,93,85
103,89,86
103,89,86
103,97,88
104,98,80
96,89,77
98,90,85
98,90,85
102,92,85
102,92,85
104,93,86
108,99,93
101,95,84
98,90,83
