"S_no","Season","AL_Type","Date","TEM","HUM","PM1","PM2.5","CO2"
"LA014",0,3,2018-10-15 11:02:00,27.815,75.66,24.9448,24.9448,510.2
"LA014",0,3,2018-10-15 11:07:00,27.8,75.765,24.0478,24.0478,522.9
"LA014",0,3,2018-10-15 11:12:00,27.815,76.495,20.17195,20.2252,556.75
"LA014",0,3,2018-10-15 11:17:00,28.09,74.96,15.9156,16.0024,598.25
"LA014",0,3,2018-10-15 11:22:00,28.305,74.135,14.57075,14.6914,598.35
"LA014",0,3,2018-10-15 11:27:00,28.49,73.195,13.40505,13.5046,594.65
"LA014",0,3,2018-10-15 11:32:00,28.54,73.025,13.24705,13.27,580.55
"LA014",0,3,2018-10-15 11:37:00,28.885,72.4,12.35575,12.373,577.15
"LA014",0,3,2018-10-15 11:42:00,29.04,71.89,12.11705,12.1246,569.65
"LA014",0,3,2018-10-15 11:47:00,28.565,72.975,13.7806,13.7806,548.95
"LA014",0,3,2018-10-15 11:52:00,28.54,73.115,14.25865,14.2636,579.5
"LA014",0,3,2018-10-15 11:57:00,28.59,73.075,13.4175,13.4356,576.1
"LA014",0,3,2018-10-15 12:02:00,28.545,73.22,12.0004,12.0004,551
"LA014",0,3,2018-10-15 12:07:00,28.5105263157895,73.4157894736842,12.9976315789474,12.9976315789474,537.473684210526
"LA014",0,3,2018-10-15 12:12:00,28.825,73.1,12.6201,12.6352,530.35
"LA014",0,3,2018-10-15 12:17:00,29.145,72.31,11.062,11.062,481.15
"LA014",0,3,2018-10-15 12:22:00,29,73.17,11.4208,11.4208,575.1
"LA014",0,3,2018-10-15 12:27:00,29.985,65.435,4.83065,5.128,463.9
"LA014",0,3,2018-10-15 12:32:00,30.7,63.0421052631579,4.71068421052632,4.938,468.578947368421
"LA014",0,3,2018-10-15 12:37:00,30.07,64.795,4.5425,5.1556,455.25
"LA014",0,3,2018-10-15 12:42:00,28.7736842105263,69.0277777777778,4.57626315789474,4.83384210526316,426
"LA014",0,3,2018-10-15 12:47:00,29.6368421052632,67.4631578947368,5.81747368421053,6.09763157894737,421.789473684211
"LA014",0,3,2018-10-15 12:52:00,31.7944444444444,62.2444444444444,6.74011111111111,7.20566666666667,518.055555555556
"LA014",0,3,2018-10-15 12:57:00,31.335,62.26,4.4583,4.6864,452.65
"LA014",0,3,2018-10-15 13:02:00,30.6105263157895,64.3947368421053,4.51815789473684,4.90647368421053,526.157894736842
"LA014",0,3,2018-10-15 13:07:00,29.525,70.22,12.16135,12.2074,506.7
"LA014",0,3,2018-10-15 13:12:00,29.1166666666667,71.5722222222222,107.791388888889,107.865,473.111111111111
"LA014",0,3,2018-10-15 13:17:00,29.015,72.03,174.956,174.956,616.3
"LA014",0,3,2018-10-15 13:22:00,28.9,71.695,42.7606,42.7606,506.45
"LA014",0,3,2018-10-15 13:27:00,28.8,72.285,48.1426,48.1426,456.85
"LA014",0,3,2018-10-15 13:32:00,28.71,72.575,53.359,53.359,467.55
"LA014",0,3,2018-10-15 13:37:00,28.905,72.475,58.9756,58.9756,477.3
"LA014",0,3,2018-10-15 13:42:00,29.045,72.335,56.4778,56.4778,596.2
"LA014",0,3,2018-10-15 13:47:00,29.01,71.985,54.4216,54.4216,580.5
"LA014",0,3,2018-10-15 13:52:00,28.96,71.58,52.5448,52.5448,484.05
"LA014",0,3,2018-10-15 13:57:00,28.9,71.9263157894737,69.7519473684211,69.7519473684211,477.263157894737
"LA014",0,3,2018-10-15 14:02:00,28.835,72.42,65.6962,65.6962,520.85
