mins 50 , noise_error =1.0
mins 51 , noise_error =0.9285714285714286
mins 52 , noise_error =0.6857142857142857
mins 53 , noise_error =0.6407766990291262
mins 54 , noise_error =0.9019607843137255
mins 55 , noise_error =0.9702970297029703
mins 56 , noise_error =0.9680851063829787
mins 57 , noise_error =1.0
mins 58 , noise_error =0.9333333333333333
mins 59 , noise_error =1.0
mins 60 , noise_error =1.0
mins 61 , noise_error =1.0
mins 62 , noise_error =0.8962264150943396
mins 63 , noise_error =1.0
mins 64 , noise_error =1.0
mins 65 , noise_error =1.0
mins 66 , noise_error =0.9893617021276596
mins 67 , noise_error =1.0
mins 68 , noise_error =0.9693877551020408
mins 69 , noise_error =0.94
mins 70 , noise_error =0.8811881188118812
mins 71 , noise_error =0.96
mins 72 , noise_error =0.94
mins 73 , noise_error =0.9603960396039604
mins 74 , noise_error =0.9207920792079208
mins 75 , noise_error =0.9696969696969697
mins 76 , noise_error =0.9108910891089109
mins 77 , noise_error =0.8811881188118812
mins 78 , noise_error =0.8598130841121495
mins 79 , noise_error =0.8411214953271028
mins 80 , noise_error =0.8288288288288288
mins 81 , noise_error =0.7818181818181819
mins 82 , noise_error =0.6923076923076923
mins 83 , noise_error =0.5405405405405406
mins 84 , noise_error =0.8288288288288288
mins 85 , noise_error =0.7474747474747474
mins 86 , noise_error =0.7156862745098039
mins 87 , noise_error =0.7333333333333334
mins 88 , noise_error =0.7307692307692308
mins 89 , noise_error =0.944954128440367
mins 90 , noise_error =0.912621359223301
mins 91 , noise_error =0.5619047619047619
mins 92 , noise_error =0.38834951456310685
mins 93 , noise_error =0.7619047619047619
mins 94 , noise_error =0.9801980198019802
mins 95 , noise_error =0.822429906542056
mins 96 , noise_error =0.9215686274509804
mins 97 , noise_error =1.0
mins 98 , noise_error =0.9896907216494846
mins 99 , noise_error =1.0
mins 100 , noise_error =1.0
mins 101 , noise_error =1.0
mins 102 , noise_error =0.96875
mins 103 , noise_error =0.9690721649484536
mins 104 , noise_error =0.9693877551020408
mins 105 , noise_error =1.0
mins 106 , noise_error =1.0
mins 107 , noise_error =0.8454545454545455
mins 108 , noise_error =0.787037037037037
mins 109 , noise_error =0.2264150943396226
mins 110 , noise_error =0.2857142857142857
mins 111 , noise_error =0.39252336448598135
mins 112 , noise_error =0.6545454545454545
mins 113 , noise_error =0.9454545454545454
mins 114 , noise_error =0.6782608695652175
mins 115 , noise_error =0.6754385964912281
mins 116 , noise_error =0.8181818181818181
mins 117 , noise_error =0.8
mins 118 , noise_error =0.7431192660550459
mins 119 , noise_error =0.941747572815534
mins 120 , noise_error =0.691588785046729
mins 121 , noise_error =0.8217821782178218
mins 122 , noise_error =0.9787234042553191
mins 123 , noise_error =0.9583333333333334
mins 124 , noise_error =0.9565217391304348
mins 125 , noise_error =0.9456521739130435
mins 126 , noise_error =0.898989898989899
mins 127 , noise_error =0.970873786407767
mins 128 , noise_error =0.8823529411764706
mins 129 , noise_error =0.7843137254901961
mins 130 , noise_error =0.826530612244898
mins 131 , noise_error =0.99
mins 132 , noise_error =0.9803921568627451
mins 133 , noise_error =0.941747572815534
mins 134 , noise_error =0.9895833333333334
mins 135 , noise_error =0.9693877551020408
mins 136 , noise_error =0.9047619047619048
mins 137 , noise_error =0.7525773195876289
mins 138 , noise_error =0.7052631578947368
mins 139 , noise_error =0.8829787234042553
mins 140 , noise_error =0.9325842696629214
mins 141 , noise_error =0.935483870967742
