mins 99 , noise_error =0.8493150684931507, delte = 0.1369863013698629
mins 100 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 101 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 102 , noise_error =0.9736842105263158, delte = 0.02631578947368418
mins 103 , noise_error =0.9230769230769231, delte = 0.07692307692307687
mins 104 , noise_error =0.9487179487179487, delte = 0.05128205128205132
mins 105 , noise_error =0.7590361445783133, delte = 0.22891566265060237
mins 106 , noise_error =0.7777777777777778, delte = 0.2222222222222222
mins 107 , noise_error =0.9425287356321839, delte = 0.04597701149425293
mins 108 , noise_error =0.9382716049382716, delte = 0.024691358024691468
mins 109 , noise_error =0.8918918918918919, delte = 0.08108108108108114
mins 110 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 111 , noise_error =0.9154929577464789, delte = 0.08450704225352113
mins 112 , noise_error =0.9436619718309859, delte = 0.05633802816901412
mins 113 , noise_error =0.9178082191780822, delte = 0.0821917808219178
mins 114 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 115 , noise_error =0.8311688311688312, delte = 0.09090909090909083
mins 116 , noise_error =0.7613636363636364, delte = 0.17045454545454553
mins 117 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 118 , noise_error =0.9487179487179487, delte = 0.02564102564102566
mins 119 , noise_error =0.9189189189189189, delte = 0.08108108108108114
mins 120 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 121 , noise_error =0.9305555555555556, delte = 0.06944444444444442
mins 122 , noise_error =0.9864864864864865, delte = 0.013513513513513487
mins 123 , noise_error =0.9078947368421053, delte = 0.07894736842105254
mins 124 , noise_error =0.9466666666666667, delte = 0.053333333333333344
mins 125 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 126 , noise_error =0.9722222222222222, delte = 0.02777777777777779
mins 127 , noise_error =0.9166666666666666, delte = 0.08333333333333337
mins 128 , noise_error =0.8142857142857143, delte = 0.18571428571428572
mins 129 , noise_error =0.8947368421052632, delte = 0.052631578947368474
mins 130 , noise_error =0.7654320987654322, delte = 0.20987654320987648
mins 131 , noise_error =0.9189189189189189, delte = 0.08108108108108114
mins 132 , noise_error =0.9402985074626866, delte = 0.05970149253731338
mins 133 , noise_error =0.703125, delte = 0.296875
mins 134 , noise_error =0.7971014492753623, delte = 0.2028985507246377
mins 135 , noise_error =0.9166666666666666, delte = 0.08333333333333337
mins 136 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 137 , noise_error =0.6388888888888888, delte = 0.25
mins 138 , noise_error =0.875, delte = 0.050000000000000044
mins 139 , noise_error =0.863013698630137, delte = 0.12328767123287665
mins 140 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 141 , noise_error =0.8717948717948718, delte = 0.1282051282051282
mins 142 , noise_error =0.9743589743589743, delte = 0.02564102564102566
mins 143 , noise_error =0.8636363636363636, delte = 0.10227272727272729
mins 144 , noise_error =0.8829787234042553, delte = 0.04255319148936165
mins 145 , noise_error =0.8947368421052632, delte = 0.021052631578947323
mins 146 , noise_error =0.7551020408163265, delte = 0.17346938775510212
mins 147 , noise_error =0.9166666666666666, delte = 0.04166666666666674
mins 148 , noise_error =0.8160919540229885, delte = 0.1839080459770115
mins 149 , noise_error =0.8974358974358975, delte = 0.10256410256410253
mins 150 , noise_error =0.7558139534883721, delte = 0.22093023255813948
mins 151 , noise_error =0.8658536585365854, delte = 0.07317073170731703
mins 152 , noise_error =0.7948717948717949, delte = 0.05128205128205121
mins 153 , noise_error =0.6526315789473685, delte = 0.03157894736842104
mins 154 , noise_error =0.7934782608695652, delte = 0.03260869565217395
mins 155 , noise_error =0.8690476190476191, delte = 0.09523809523809523
mins 156 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 157 , noise_error =0.9090909090909091, delte = 0.09090909090909094
mins 158 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 159 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 160 , noise_error =0.9358974358974359, delte = 0.0641025641025641
mins 161 , noise_error =0.9589041095890412, delte = 0.041095890410958846
mins 162 , noise_error =0.9178082191780822, delte = 0.0821917808219178
mins 163 , noise_error =0.9420289855072463, delte = 0.05797101449275366
mins 164 , noise_error =0.9420289855072463, delte = 0.05797101449275366
mins 165 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 166 , noise_error =0.9186046511627907, delte = 0.08139534883720934
mins 167 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 168 , noise_error =0.8636363636363636, delte = 0.13636363636363635
mins 169 , noise_error =0.9642857142857143, delte = 0.0357142857142857
mins 170 , noise_error =0.9021739130434783, delte = 0.08695652173913038
mins 171 , noise_error =0.935483870967742, delte = 0.043010752688172005
mins 172 , noise_error =0.7640449438202247, delte = 0.2134831460674157
mins 173 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 174 , noise_error =0.7777777777777778, delte = 0.20987654320987648
mins 175 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 176 , noise_error =0.9367088607594937, delte = 0.06329113924050633
mins 177 , noise_error =0.9615384615384616, delte = 0.038461538461538436
mins 178 , noise_error =0.7027027027027026, delte = 0.2837837837837839
mins 179 , noise_error =0.95, delte = 0.050000000000000044
mins 180 , noise_error =0.9240506329113924, delte = 0.07594936708860756
mins 181 , noise_error =0.7948717948717949, delte = 0.20512820512820507
mins 182 , noise_error =0.7272727272727273, delte = 0.2597402597402597
mins 183 , noise_error =0.9518072289156626, delte = 0.048192771084337394
mins 184 , noise_error =0.9010989010989011, delte = 0.09890109890109888
mins 185 , noise_error =0.9634146341463414, delte = 0.03658536585365857
mins 186 , noise_error =0.7553191489361702, delte = 0.23404255319148937
mins 187 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 188 , noise_error =0.9222222222222223, delte = 0.07777777777777772
mins 189 , noise_error =0.9615384615384616, delte = 0.038461538461538436
mins 190 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 191 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 192 , noise_error =0.9302325581395349, delte = 0.06976744186046513
mins 193 , noise_error =0.9302325581395349, delte = 0.03488372093023262
mins 194 , noise_error =0.9, delte = 0.09999999999999998
mins 195 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 196 , noise_error =0.9102564102564102, delte = 0.07692307692307698
mins 197 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 198 , noise_error =0.8690476190476191, delte = 0.1071428571428571
mins 199 , noise_error =0.9339622641509434, delte = 0.047169811320754707
mins 200 , noise_error =0.8301886792452831, delte = 0.160377358490566
mins 201 , noise_error =0.967741935483871, delte = 0.032258064516129004
mins 202 , noise_error =0.9239130434782609, delte = 0.07608695652173914
mins 203 , noise_error =0.956989247311828, delte = 0.043010752688172005
mins 204 , noise_error =0.9278350515463918, delte = 0.07216494845360821
mins 205 , noise_error =0.9787234042553191, delte = 0.021276595744680882
mins 206 , noise_error =0.8080808080808081, delte = 0.19191919191919193
mins 207 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 208 , noise_error =0.9387755102040817, delte = 0.061224489795918324
mins 209 , noise_error =0.9902912621359223, delte = 0.009708737864077666
mins 210 , noise_error =0.9509803921568627, delte = 0.0490196078431373
mins 211 , noise_error =0.9716981132075472, delte = 0.028301886792452824
mins 212 , noise_error =0.9333333333333333, delte = 0.03809523809523807
mins 213 , noise_error =0.9607843137254902, delte = 0.02941176470588236
mins 214 , noise_error =0.9306930693069306, delte = 0.06930693069306937
mins 215 , noise_error =0.9320388349514563, delte = 0.04854368932038833
mins 216 , noise_error =0.8952380952380953, delte = 0.05714285714285705
mins 217 , noise_error =0.9439252336448598, delte = 0.03738317757009346
mins 218 , noise_error =0.9519230769230769, delte = 0.028846153846153855
mins 219 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 220 , noise_error =0.9666666666666667, delte = 0.033333333333333326
mins 221 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 222 , noise_error =0.9222222222222223, delte = 0.07777777777777772
mins 223 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 224 , noise_error =0.8, delte = 0.18823529411764706
mins 225 , noise_error =0.8214285714285714, delte = 0.1785714285714286
mins 226 , noise_error =0.926829268292683, delte = 0.07317073170731703
mins 227 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 228 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 229 , noise_error =0.9647058823529412, delte = 0.03529411764705881
mins 230 , noise_error =0.925531914893617, delte = 0.07446808510638303
