mins 184 , noise_error =1.0
mins 185 , noise_error =1.0
mins 186 , noise_error =1.0
mins 187 , noise_error =1.0
mins 188 , noise_error =1.0
mins 189 , noise_error =1.0
mins 190 , noise_error =1.0
mins 191 , noise_error =1.0
mins 192 , noise_error =1.0
mins 193 , noise_error =0.957983193277311
mins 194 , noise_error =0.9014084507042254
mins 195 , noise_error =0.94
mins 196 , noise_error =0.8424657534246576
mins 197 , noise_error =0.9693251533742331
mins 198 , noise_error =0.976878612716763
mins 199 , noise_error =0.9825581395348837
mins 200 , noise_error =1.0
mins 201 , noise_error =1.0
mins 202 , noise_error =0.9920634920634921
mins 203 , noise_error =0.9793103448275862
mins 204 , noise_error =0.9935897435897436
mins 205 , noise_error =0.99375
mins 206 , noise_error =1.0
mins 207 , noise_error =0.9615384615384616
mins 208 , noise_error =0.9440559440559441
mins 209 , noise_error =0.9925925925925926
mins 210 , noise_error =1.0
mins 211 , noise_error =1.0
mins 212 , noise_error =1.0
mins 213 , noise_error =1.0
mins 214 , noise_error =1.0
mins 215 , noise_error =1.0
mins 216 , noise_error =1.0
mins 217 , noise_error =1.0
mins 218 , noise_error =1.0
mins 219 , noise_error =1.0
mins 220 , noise_error =0.9924242424242424
mins 221 , noise_error =1.0
mins 222 , noise_error =0.9699248120300752
mins 223 , noise_error =0.9772727272727273
mins 224 , noise_error =0.920863309352518
mins 225 , noise_error =0.8695652173913043
mins 226 , noise_error =0.7449664429530201
mins 227 , noise_error =0.9084507042253521
mins 228 , noise_error =0.9640287769784173
mins 229 , noise_error =0.6879432624113475
mins 230 , noise_error =0.8299319727891157
mins 231 , noise_error =0.6388888888888888
mins 232 , noise_error =0.6643835616438356
mins 233 , noise_error =0.8391608391608392
mins 234 , noise_error =0.7171052631578947
mins 235 , noise_error =0.7302631578947368
mins 236 , noise_error =0.6319444444444444
mins 237 , noise_error =0.6643356643356644
mins 238 , noise_error =0.6739130434782609
mins 239 , noise_error =0.8531468531468531
mins 240 , noise_error =0.8082191780821918
mins 241 , noise_error =0.9930555555555556
mins 242 , noise_error =0.993006993006993
mins 243 , noise_error =0.9724137931034482
mins 244 , noise_error =0.950354609929078
mins 245 , noise_error =0.965034965034965
mins 246 , noise_error =0.8768115942028986
mins 247 , noise_error =0.9591836734693877
mins 248 , noise_error =0.9530201342281879
mins 249 , noise_error =0.9375
mins 250 , noise_error =0.9862068965517241
mins 251 , noise_error =0.9926470588235294
mins 252 , noise_error =1.0
mins 253 , noise_error =1.0
mins 254 , noise_error =0.9928571428571429
mins 255 , noise_error =0.9928571428571429
mins 256 , noise_error =0.8978102189781022
mins 257 , noise_error =0.9230769230769231
mins 258 , noise_error =0.95
mins 259 , noise_error =0.9424460431654677
mins 260 , noise_error =0.9701492537313433
mins 261 , noise_error =0.9925925925925926
mins 262 , noise_error =0.9777777777777777
mins 263 , noise_error =0.9699248120300752
mins 264 , noise_error =0.9777777777777777
mins 265 , noise_error =0.9777777777777777
mins 266 , noise_error =0.9699248120300752
mins 267 , noise_error =0.9701492537313433
mins 268 , noise_error =0.9197080291970803
mins 269 , noise_error =0.9856115107913669
mins 270 , noise_error =0.9854014598540146
mins 271 , noise_error =0.9851851851851852
mins 272 , noise_error =0.9849624060150376
mins 273 , noise_error =0.9922480620155039
mins 274 , noise_error =1.0
mins 275 , noise_error =1.0
mins 276 , noise_error =1.0
mins 277 , noise_error =1.0
mins 278 , noise_error =1.0
mins 279 , noise_error =0.9923664122137404
mins 280 , noise_error =1.0
mins 281 , noise_error =1.0
mins 282 , noise_error =0.9922480620155039
mins 283 , noise_error =0.9703703703703703
mins 284 , noise_error =0.9701492537313433
mins 285 , noise_error =0.9130434782608696
mins 286 , noise_error =0.9733333333333334
mins 287 , noise_error =0.9320987654320988
mins 288 , noise_error =0.9817073170731707
