mins 1220 , noise_error =1.0
mins 1221 , noise_error =1.0
mins 1222 , noise_error =1.0
mins 1223 , noise_error =1.0
mins 1224 , noise_error =1.0
mins 1225 , noise_error =1.0
mins 1226 , noise_error =1.0
mins 1227 , noise_error =1.0
mins 1228 , noise_error =1.0
mins 1229 , noise_error =1.0
mins 1230 , noise_error =1.0
mins 1231 , noise_error =1.0
mins 1232 , noise_error =1.0
mins 1233 , noise_error =1.0
mins 1234 , noise_error =1.0
mins 1235 , noise_error =1.0
mins 1236 , noise_error =1.0
mins 1237 , noise_error =1.0
mins 1238 , noise_error =1.0
mins 1239 , noise_error =1.0
mins 1240 , noise_error =1.0
mins 1241 , noise_error =1.0
mins 1242 , noise_error =1.0
mins 1243 , noise_error =1.0
mins 1244 , noise_error =1.0
mins 1245 , noise_error =1.0
mins 1246 , noise_error =1.0
mins 1247 , noise_error =1.0
mins 1248 , noise_error =1.0
mins 1249 , noise_error =1.0
mins 1250 , noise_error =0.9873417721518988
mins 1251 , noise_error =1.0
mins 1252 , noise_error =1.0
mins 1253 , noise_error =1.0
mins 1254 , noise_error =1.0
mins 1255 , noise_error =0.987012987012987
mins 1256 , noise_error =0.9866666666666667
mins 1257 , noise_error =1.0
mins 1258 , noise_error =1.0
mins 1259 , noise_error =1.0
mins 1260 , noise_error =0.9746835443037974
mins 1261 , noise_error =1.0
mins 1262 , noise_error =1.0
mins 1263 , noise_error =1.0
mins 1264 , noise_error =1.0
mins 1265 , noise_error =1.0
mins 1266 , noise_error =1.0
mins 1267 , noise_error =1.0
mins 1268 , noise_error =1.0
mins 1269 , noise_error =1.0
mins 1270 , noise_error =1.0
mins 1271 , noise_error =1.0
mins 1272 , noise_error =1.0
mins 1273 , noise_error =1.0
mins 1274 , noise_error =1.0
mins 1275 , noise_error =1.0
mins 1276 , noise_error =1.0
mins 1277 , noise_error =1.0
mins 1278 , noise_error =0.9868421052631579
mins 1279 , noise_error =1.0
mins 1280 , noise_error =0.9746835443037974
mins 1281 , noise_error =0.9875
mins 1282 , noise_error =1.0
mins 1283 , noise_error =0.975
mins 1284 , noise_error =1.0
mins 1285 , noise_error =1.0
mins 1286 , noise_error =0.926829268292683
mins 1287 , noise_error =0.9285714285714286
mins 1288 , noise_error =1.0
mins 1289 , noise_error =1.0
mins 1290 , noise_error =1.0
mins 1291 , noise_error =1.0
mins 1292 , noise_error =1.0
mins 1293 , noise_error =1.0
mins 1294 , noise_error =1.0
mins 1295 , noise_error =1.0
mins 1296 , noise_error =1.0
mins 1297 , noise_error =1.0
mins 1298 , noise_error =0.9764705882352941
mins 1299 , noise_error =0.9876543209876543
mins 1300 , noise_error =0.8709677419354839
mins 1301 , noise_error =0.9866666666666667
mins 1302 , noise_error =1.0
mins 1303 , noise_error =0.9642857142857143
mins 1304 , noise_error =1.0
mins 1305 , noise_error =1.0
mins 1306 , noise_error =0.9142857142857143
mins 1307 , noise_error =0.8558558558558559
mins 1308 , noise_error =0.9606299212598425
mins 1309 , noise_error =0.9189189189189189
mins 1310 , noise_error =0.8956521739130435
mins 1311 , noise_error =0.9174311926605505
mins 1312 , noise_error =0.9008264462809917
mins 1313 , noise_error =0.9369369369369369
mins 1314 , noise_error =0.8301886792452831
mins 1315 , noise_error =0.7807017543859649
mins 1316 , noise_error =0.9747899159663865
mins 1317 , noise_error =0.9807692307692307
mins 1318 , noise_error =1.0
mins 1319 , noise_error =0.9809523809523809
mins 1320 , noise_error =1.0
mins 1321 , noise_error =1.0
mins 1322 , noise_error =1.0
mins 1323 , noise_error =1.0
mins 1324 , noise_error =1.0
mins 1325 , noise_error =1.0
mins 1326 , noise_error =1.0
mins 1327 , noise_error =1.0
mins 1328 , noise_error =1.0
mins 1329 , noise_error =1.0
mins 1330 , noise_error =1.0
mins 1331 , noise_error =1.0
mins 1332 , noise_error =1.0
mins 1333 , noise_error =0.9714285714285714
mins 1334 , noise_error =0.9652173913043478
mins 1335 , noise_error =0.9504950495049505
mins 1336 , noise_error =0.9396551724137931
mins 1337 , noise_error =0.9624060150375939
mins 1338 , noise_error =0.95
mins 1339 , noise_error =0.941747572815534
mins 1340 , noise_error =1.0
mins 1341 , noise_error =1.0
mins 1342 , noise_error =1.0
mins 1343 , noise_error =0.963302752293578
mins 1344 , noise_error =1.0
mins 1345 , noise_error =0.9772727272727273
mins 1346 , noise_error =0.9672131147540983
mins 1347 , noise_error =0.9369369369369369
mins 1348 , noise_error =1.0
mins 1349 , noise_error =1.0
mins 1350 , noise_error =1.0
mins 1351 , noise_error =0.9805825242718447
mins 1352 , noise_error =0.9900990099009901
mins 1353 , noise_error =0.9557522123893806
mins 1354 , noise_error =0.8389830508474576
mins 1355 , noise_error =0.9537037037037037
mins 1356 , noise_error =0.9611650485436893
mins 1357 , noise_error =0.8828828828828829
mins 1358 , noise_error =0.9357798165137614
mins 1359 , noise_error =0.8403361344537815
mins 1360 , noise_error =0.8728813559322034
mins 1361 , noise_error =0.9745762711864406
mins 1362 , noise_error =1.0
mins 1363 , noise_error =0.7387387387387387
mins 1364 , noise_error =0.7916666666666666
mins 1365 , noise_error =0.8189655172413793
mins 1366 , noise_error =0.8230088495575221
mins 1367 , noise_error =0.8632478632478633
mins 1368 , noise_error =0.9210526315789473
mins 1369 , noise_error =0.875
mins 1370 , noise_error =0.9646017699115044
mins 1371 , noise_error =0.8782608695652174
mins 1372 , noise_error =0.9572649572649573
mins 1373 , noise_error =0.9
mins 1374 , noise_error =0.9212598425196851
mins 1375 , noise_error =0.9682539682539683
mins 1376 , noise_error =0.9090909090909091
mins 1377 , noise_error =0.9224137931034483
mins 1378 , noise_error =0.9444444444444444
mins 1379 , noise_error =0.9765625
mins 1380 , noise_error =0.9152542372881356
mins 1381 , noise_error =1.0
mins 1382 , noise_error =0.8918918918918919
mins 1383 , noise_error =0.9739130434782609
mins 1384 , noise_error =1.0
mins 1385 , noise_error =0.95
mins 1386 , noise_error =0.9424460431654677
mins 1387 , noise_error =0.8879310344827587
mins 1388 , noise_error =0.6890756302521008
mins 1389 , noise_error =0.9185185185185185
mins 1390 , noise_error =0.9504132231404958
mins 1391 , noise_error =1.0
mins 1392 , noise_error =1.0
mins 1393 , noise_error =0.9459459459459459
mins 1394 , noise_error =0.9516129032258065
mins 1395 , noise_error =0.9814814814814815
mins 1396 , noise_error =0.9823008849557522
mins 1397 , noise_error =0.9830508474576272
mins 1398 , noise_error =1.0
mins 1399 , noise_error =1.0
mins 1400 , noise_error =0.9426229508196722
mins 1401 , noise_error =0.9708029197080292
mins 1402 , noise_error =0.957983193277311
mins 1403 , noise_error =0.9017857142857143
mins 1404 , noise_error =0.935483870967742
mins 1405 , noise_error =0.9848484848484849
mins 1406 , noise_error =1.0
mins 1407 , noise_error =1.0
mins 1408 , noise_error =1.0
mins 1409 , noise_error =0.9758064516129032
mins 1410 , noise_error =1.0
mins 1411 , noise_error =1.0
mins 1412 , noise_error =1.0
mins 1413 , noise_error =0.9583333333333334
mins 1414 , noise_error =0.9919354838709677
mins 1415 , noise_error =1.0
mins 1416 , noise_error =0.991869918699187
mins 1417 , noise_error =1.0
mins 1418 , noise_error =0.9448818897637795
mins 1419 , noise_error =0.9752066115702479
mins 1420 , noise_error =0.9112903225806451
mins 1421 , noise_error =1.0
mins 1422 , noise_error =1.0
mins 1423 , noise_error =0.9846153846153847
mins 1424 , noise_error =1.0
mins 1425 , noise_error =0.9936708860759493
mins 1426 , noise_error =1.0
mins 1427 , noise_error =1.0
mins 1428 , noise_error =0.9681528662420382
mins 1429 , noise_error =0.9060773480662984
mins 1430 , noise_error =0.9943820224719101
mins 1431 , noise_error =0.9941520467836258
mins 1432 , noise_error =1.0
mins 1433 , noise_error =1.0
mins 1434 , noise_error =0.9818181818181818
mins 1435 , noise_error =0.9806451612903225
mins 1436 , noise_error =1.0
mins 1437 , noise_error =1.0
mins 1438 , noise_error =1.0
mins 1439 , noise_error =1.0
mins 1440 , noise_error =1.0
mins 1441 , noise_error =1.0
mins 1442 , noise_error =1.0
mins 1443 , noise_error =1.0
mins 1444 , noise_error =1.0
mins 1445 , noise_error =1.0
mins 1446 , noise_error =1.0
mins 1447 , noise_error =1.0
mins 1448 , noise_error =1.0
mins 1449 , noise_error =1.0
mins 1450 , noise_error =1.0
mins 1451 , noise_error =1.0
mins 1452 , noise_error =1.0
mins 1453 , noise_error =1.0
mins 1454 , noise_error =1.0
mins 1455 , noise_error =1.0
mins 1456 , noise_error =0.9851851851851852
mins 1457 , noise_error =1.0
mins 1458 , noise_error =1.0
mins 1459 , noise_error =0.9846153846153847
