mins 1510 , noise_error =0.8532110091743119
mins 1511 , noise_error =0.9619047619047619
mins 1512 , noise_error =0.9150943396226415
mins 1513 , noise_error =0.8269230769230769
mins 1514 , noise_error =0.911504424778761
mins 1515 , noise_error =0.83
mins 1516 , noise_error =0.9603960396039604
mins 1517 , noise_error =0.8969072164948454
mins 1518 , noise_error =0.8787878787878788
mins 1519 , noise_error =0.7075471698113207
mins 1520 , noise_error =0.979381443298969
mins 1521 , noise_error =1.0
mins 1522 , noise_error =0.9787234042553191
mins 1523 , noise_error =1.0
mins 1524 , noise_error =0.956989247311828
mins 1525 , noise_error =0.7346938775510203
mins 1526 , noise_error =0.7264150943396226
mins 1527 , noise_error =0.504424778761062
mins 1528 , noise_error =0.6636363636363636
mins 1529 , noise_error =0.7358490566037736
mins 1530 , noise_error =0.8173076923076923
mins 1531 , noise_error =0.6
mins 1532 , noise_error =0.9142857142857143
mins 1533 , noise_error =0.8969072164948454
mins 1534 , noise_error =0.83
mins 1535 , noise_error =0.7547169811320755
mins 1536 , noise_error =0.8130841121495327
mins 1537 , noise_error =0.6603773584905661
mins 1538 , noise_error =0.6
mins 1539 , noise_error =0.4910714285714286
mins 1540 , noise_error =0.6846846846846847
mins 1541 , noise_error =0.8461538461538461
mins 1542 , noise_error =0.9285714285714286
mins 1543 , noise_error =0.9789473684210527
mins 1544 , noise_error =0.967741935483871
mins 1545 , noise_error =0.8857142857142857
mins 1546 , noise_error =0.7657657657657657
mins 1547 , noise_error =0.8695652173913043
mins 1548 , noise_error =0.7321428571428572
mins 1549 , noise_error =0.3979591836734694
mins 1550 , noise_error =0.5145631067961165
mins 1551 , noise_error =0.8130841121495327
mins 1552 , noise_error =0.7745098039215687
mins 1553 , noise_error =0.5643564356435644
mins 1554 , noise_error =0.5233644859813085
mins 1555 , noise_error =0.8333333333333334
mins 1556 , noise_error =0.8217821782178218
mins 1557 , noise_error =0.6826923076923077
mins 1558 , noise_error =0.9509803921568627
mins 1559 , noise_error =0.9714285714285714
mins 1560 , noise_error =0.8952380952380953
mins 1561 , noise_error =0.8518518518518519
mins 1562 , noise_error =0.675
mins 1563 , noise_error =0.6310679611650485
mins 1564 , noise_error =0.7941176470588236
